Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2026.06.01 11:00:12;Buy;1.00;EURUSD;1.16568;1.16367;1.16767;2026.06.01 16:11:21;1.16360;-2.33;;-208.00;[sl]
2026.06.01 08:30:08;Balance;;;;;;;;;;12.00;
2026.06.01 05:30:50;Balance;;;;;;;;;;5.52;
2026.06.01 05:30:22;Balance;;;;;;;;;;0.84;
2026.05.28 10:59:59;Buy;1.00;EURUSD;1.16119;1.15917;1.16317;2026.05.28 15:30:14;1.16324;-2.32;;205.00;[tp]
2026.05.22 10:59:59;Buy;1.00;EURUSD;1.16089;1.15883;1.16287;2026.05.25 00:05:00;1.16369;-2.32;-10.00;280.00;[tp]
2026.05.20 10:59:59;Sell;1.00;EURUSD;1.15931;;;2026.05.20 17:16:59;1.16130;-2.32;;-199.00;
2026.05.18 10:59:59;Sell;1.00;EURUSD;1.16319;;;2026.05.18 15:34:56;1.16525;-2.33;;-206.00;
2026.05.12 10:59:59;Sell;1.00;EURUSD;1.17477;;;2026.05.12 16:57:15;1.17277;-2.35;;200.00;
2026.05.08 10:59:59;Sell;1.00;EURUSD;1.17430;;;2026.05.08 11:45:44;1.17630;-2.35;;-200.00;
2026.05.06 10:59:59;Buy;1.00;EURUSD;1.17383;1.17176;1.17582;2026.05.06 11:50:41;1.17582;-2.35;;199.00;[tp]
2026.05.04 10:59:59;Buy;1.00;EURUSD;1.17179;1.16978;1.17378;2026.05.04 13:08:08;1.16980;-2.34;;-199.00;[sl]
2026.05.01 07:02:39;Balance;;;;;;;;;;0.25;
2026.05.01 07:02:38;Balance;;;;;;;;;;1.28;
2026.05.01 05:03:32;Balance;;;;;;;;;;12.13;
2026.05.01 05:03:01;Balance;;;;;;;;;;2.42;
2026.04.30 10:59:59;Sell;1.00;EURUSD;1.16795;;;2026.04.30 13:26:54;1.16997;-2.34;;-202.00;
2026.04.28 10:59:59;Sell;1.00;EURUSD;1.16969;;;2026.04.28 19:07:59;1.17167;-2.34;;-198.00;
2026.04.24 20:10:05;Balance;;;;;;;;;;23.00;
2026.04.24 10:59:59;Sell;1.00;EURUSD;1.16907;;;2026.04.24 14:05:03;1.17106;-2.34;;-199.00;
2026.04.22 10:59:59;Sell;1.00;EURUSD;1.17554;;;2026.04.22 14:55:01;1.17352;-2.35;;202.00;
2026.04.20 10:59:59;Buy;1.00;EURUSD;1.17597;1.17393;1.17795;2026.04.20 16:44:15;1.17795;-2.35;;198.00;[tp]
2026.04.16 10:59:59;Buy;1.00;EURUSD;1.17920;1.17717;1.18125;2026.04.16 16:52:25;1.17707;-2.36;;-213.00;[sl]
2026.04.14 10:59:59;Buy;1.00;EURUSD;1.17800;1.17599;1.17999;2026.04.14 14:06:30;1.18002;-2.36;;202.00;[tp]
2026.04.10 10:59:59;Buy;1.00;EURUSD;1.16798;1.16595;1.16995;2026.04.10 12:19:13;1.16996;-2.34;;198.00;[tp]
2026.04.08 10:59:59;Buy;1.00;EURUSD;1.16958;1.16756;1.17156;2026.04.08 11:42:53;1.16751;-2.34;;-207.00;[sl]
2026.04.06 10:59:59;Sell;1.00;EURUSD;1.15640;;;2026.04.06 13:46:19;1.15426;-2.31;;214.00;
2026.04.02 10:59:59;Buy;1.00;EURUSD;1.15325;1.15126;1.15526;2026.04.02 13:49:40;1.15123;-2.31;;-202.00;[sl]
2026.04.01 07:02:50;Balance;;;;;;;;;;0.11;
2026.04.01 07:02:50;Balance;;;;;;;;;;1.61;
2026.04.01 05:37:40;Balance;;;;;;;;;;11.52;
2026.04.01 05:36:58;Balance;;;;;;;;;;1.25;
2026.03.31 10:59:59;Sell;1.00;EURUSD;1.14723;;;2026.03.31 15:00:03;1.14931;-2.29;;-208.00;
2026.03.27 09:59:59;Sell;1.00;EURUSD;1.15188;;;2026.03.27 17:23:50;1.15425;-2.30;;-237.00;
2026.03.25 09:59:59;Sell;1.00;EURUSD;1.15977;;;2026.03.25 15:46:08;1.15773;-2.32;;204.00;
