Time;Type;Volume;Symbol;Price;Volume;Time;Price;Commission;Swap;Profit
2026.05.07 06:05:11;Balance;;;;;;;;;0.58
2026.05.06 10:41:15;Sell;0.02;XAUUSD;4714;0.02;2026.05.06 10:54:03;4720;-0.14;;-12
2026.05.06 10:30:31;Sell;0.02;XAUUSD;4709.091;0.02;2026.05.06 10:41:15;4714;-0.14;;-9.82
2026.05.06 09:00:21;Sell;0.02;XAUUSD;4706.638;0.02;2026.05.06 10:41:15;4714;-0.14;;-14.72
2026.05.06 08:50:45;Sell;0.02;XAUUSD;4698;0.02;2026.05.06 09:00:12;4704;-0.14;;-12
2026.05.06 08:50:29;Sell;0.02;XAUUSD;4692;0.02;2026.05.06 08:50:45;4698;-0.14;;-12
2026.05.06 05:58:19;Sell;0.02;XAUUSD;4661;0.02;2026.05.06 08:50:45;4698;-0.14;;-74
2026.05.06 08:50:16;Sell;0.02;XAUUSD;4686;0.02;2026.05.06 08:50:29;4692;-0.14;;-12
2026.05.06 07:59:35;Sell;0.02;XAUUSD;4680;0.02;2026.05.06 08:50:16;4686;-0.14;;-12
2026.05.06 07:45:53;Sell;0.02;XAUUSD;4674;0.02;2026.05.06 07:59:35;4680.403;-0.14;;-12.81
2026.05.06 06:31:38;Sell;0.02;XAUUSD;4668;0.02;2026.05.06 07:45:49;4674;-0.14;;-12
2026.05.06 06:00:29;Sell;0.02;XAUUSD;4662.429;0.02;2026.05.06 06:31:38;4668;-0.14;;-11.14
2026.05.06 05:58:20;Buy;0.02;XAUUSD;4662.222000000001;0.02;2026.05.06 06:00:22;4663.0740000000005;-0.14;;1.71
2026.05.06 05:56:17;Sell;0.02;XAUUSD;4656;0.02;2026.05.06 05:58:19;4662.049;-0.14;;-12.1
2026.04.25 05:19:17;Balance;;;;;;;;;0.04
2026.04.24 13:08:48;Sell;0.02;BTCUSD;78402.7;0.02;2026.04.24 16:42:00;77600;-0.08;;16.05
2026.04.22 05:25:17;Balance;;;;;;;;;0.24
2026.04.21 06:00:14;Buy;0.02;XAUUSD;4780;0.02;2026.04.21 06:52:17;4775;-0.14;;-10
2026.04.21 05:52:31;Buy;0.02;XAUUSD;4785;0.02;2026.04.21 06:00:14;4780;-0.14;;-10
2026.04.21 04:31:05;Buy;0.02;XAUUSD;4790;0.02;2026.04.21 05:52:31;4785;-0.14;;-10
2026.04.21 05:35:11;Balance;;;;;;;;;0.04
2026.04.21 03:24:33;Buy;0.02;XAUUSD;4795;0.02;2026.04.21 04:31:05;4790;-0.14;;-10
2026.04.21 03:18:34;Buy;0.02;XAUUSD;4800;0.02;2026.04.21 03:24:26;4795;-0.14;;-10
2026.04.21 02:38:13;Buy;0.02;XAUUSD;4804.6759999999995;0.02;2026.04.21 03:18:34;4800;-0.14;;-9.35
2026.04.20 05:25:11;Balance;;;;;;;;;0.27
2026.04.19 22:00:38;Buy;0.02;BTCUSD;74200;0.02;2026.04.20 05:20:34;74220;-0.08;;0.4
2026.04.19 20:18:49;Buy;0.02;BTCUSD;74700;0.02;2026.04.19 22:00:38;74200;-0.08;;-10
2026.04.19 17:51:28;Buy;0.02;BTCUSD;74900;0.02;2026.04.19 19:55:39;74937.23;-0.08;;0.74
2026.04.19 10:08:22;Buy;0.02;BTCUSD;75031.02;0.02;2026.04.19 11:16:50;75550;-0.08;;10.38
2026.04.19 02:38:13;Buy;0.02;BTCUSD;75529.98;0.02;2026.04.19 11:16:50;75550;-0.08;;0.4
2026.04.19 03:08:15;Buy;0.02;BTCUSD;75400;0.02;2026.04.19 11:16:50;75550;-0.08;;3
2026.04.18 16:17:10;Buy;0.02;BTCUSD;75900;0.02;2026.04.19 03:08:15;75400;-0.08;;-10
2026.04.09 05:45:13;Balance;;;;;;;;;0.16
2026.04.08 06:05:11;Balance;;;;;;;;;0.08
2026.04.08 00:04:43;Sell;0.02;XAUUSD;4845.639;0.02;2026.04.08 00:08:35;4844.355;-0.14;;2.57
2026.04.08 00:06:18;Sell;0.02;XAUUSD;4851;0.02;2026.04.08 00:06:39;4857;-0.14;;-12
2026.04.08 00:00:56;Sell;0.02;XAUUSD;4841;0.02;2026.04.08 00:02:05;4847;-0.14;;-12
2026.04.07 23:58:49;Sell;0.02;XAUUSD;4835;0.02;2026.04.08 00:00:57;4841;-0.14;;-12
2026.04.07 23:58:18;Sell;0.02;XAUUSD;4829;0.02;2026.04.07 23:58:49;4835;-0.14;;-12
2026.04.07 23:52:50;Sell;0.02;XAUUSD;4817.91;0.02;2026.04.07 23:55:10;4817.8;-0.14;;0.22
2026.03.20 05:55:17;Balance;;;;;;;;;1.4
2026.03.19 12:53:47;Buy;0.02;BTCUSD;69140.46;0.02;2026.03.19 13:26:01;69286.23;-0.08;;2.91
2026.03.19 13:02:03;Buy;0.02;XAUUSD;4520;0.02;2026.03.19 13:24:59;4562.416;-0.14;;84.83
2026.03.19 13:01:52;Buy;0.02;XAUUSD;4532;0.02;2026.03.19 13:02:03;4518.039;-0.14;;-27.92
2026.03.19 12:45:51;Buy;0.02;XAUUSD;4549.797;0.02;2026.03.19 12:57:19;4584.1;-0.14;;68.61
2026.03.19 12:43:08;Buy;0.02;XAUUSD;4584.079;0.02;2026.03.19 12:57:19;4584.1;-0.14;;0.04
2026.03.19 12:43:38;Buy;0.02;XAUUSD;4581.318;0.02;2026.03.19 12:57:11;4581.5;-0.14;;0.36
2026.03.19 12:43:49;Buy;0.02;XAUUSD;4576.724999999999;0.02;2026.03.19 12:55:13;4576.9;-0.14;;0.35
2026.03.19 12:52:50;Buy;0.02;BTCUSD;69262.93000000001;0.02;2026.03.19 12:54:20;69290;-0.08;;0.54
2026.03.19 12:44:36;Buy;0.02;XAUUSD;4564.598;0.02;2026.03.19 12:51:04;4564.8;-0.14;;0.4
2026.03.19 12:45:26;Buy;0.02;XAUUSD;4556.139;0.02;2026.03.19 12:49:59;4557.388;-0.14;;2.5
2026.03.19 12:42:38;Buy;0.02;XAUUSD;4593;0.02;2026.03.19 12:43:04;4587;-0.14;;-12
2026.03.19 12:40:17;Buy;0.02;XAUUSD;4599.054;0.02;2026.03.19 12:42:38;4590.528;-0.14;;-17.05
2026.03.19 11:42:42;Buy;0.02;XAUUSD;4660;0.02;2026.03.19 11:51:25;4654;-0.14;;-12
2026.03.19 11:42:23;Buy;0.02;XAUUSD;4666;0.02;2026.03.19 11:42:42;4660;-0.14;;-12
2026.03.19 10:20:36;Buy;0.02;XAUUSD;4671.3859999999995;0.02;2026.03.19 11:42:23;4666;-0.14;;-10.77
2026.03.19 10:20:32;Buy;0.02;XAUUSD;4678;0.02;2026.03.19 10:20:36;4672;-0.14;;-12
2026.03.19 10:20:25;Buy;0.02;XAUUSD;4684;0.02;2026.03.19 10:20:32;4678;-0.14;;-12
2026.03.19 08:42:37;Buy;0.02;XAUUSD;4690;0.02;2026.03.19 10:20:25;4684;-0.14;;-12
2026.03.19 08:40:59;Buy;0.02;XAUUSD;4696;0.02;2026.03.19 08:42:38;4690;-0.14;;-12
2026.03.19 08:34:03;Buy;0.02;XAUUSD;4702;0.02;2026.03.19 08:40:59;4696;-0.14;;-12
2026.03.19 08:14:09;Buy;0.02;XAUUSD;4705;0.02;2026.03.19 08:14:29;4708.767;-0.14;;7.53
2026.03.19 08:12:29;Buy;0.02;XAUUSD;4710.787;0.02;2026.03.19 08:14:09;4704.6230000000005;-0.14;;-12.32
2026.03.19 08:11:27;Buy;0.02;XAUUSD;4714;0.02;2026.03.19 08:12:54;4714.2;-0.14;;0.4
2026.03.19 08:05:48;Buy;0.02;XAUUSD;4718;0.02;2026.03.19 08:10:12;4719.213;-0.14;;2.43
2026.03.19 08:05:41;Buy;0.02;XAUUSD;4724;0.02;2026.03.19 08:05:48;4717.2660000000005;-0.14;;-13.47
2026.03.19 07:59:26;Buy;0.02;XAUUSD;4730;0.02;2026.03.19 08:05:41;4724;-0.14;;-12
2026.03.19 07:58:23;Buy;0.02;XAUUSD;4736;0.02;2026.03.19 07:59:26;4728.286;-0.14;;-15.43
