Time;Type;Volume;Symbol;Price;Volume;Time;Price;Commission;Swap;Profit
2026.06.01 16:11:14;Sell;0.05;BTCUSD;71902.73;0.05;2026.06.01 16:11:21;71853.16;;;2.48
2026.06.01 15:01:38;Sell;0.06;BTCUSD;72274.77;0.06;2026.06.01 15:03:45;72214.41;;;3.63
2026.06.01 13:23:29;Sell;0.01;BTCUSD;72692.82;0.01;2026.06.01 13:35:01;72653.71;;;0.39
2026.06.01 09:21:29;Sell;0.03;BTCUSD;73212.51;0.03;2026.06.01 09:24:05;73179.82;;;0.99
2026.06.01 07:49:04;Sell;0.04;BTCUSD;73378.5;0.04;2026.06.01 08:37:29;73362.41;;;0.64
2026.06.01 04:54:25;Sell;0.04;BTCUSD;73386.14;0.04;2026.06.01 04:55:28;73327.53;;;2.35
2026.06.01 04:05:52;Sell;0.01;BTCUSD;73675.82;0.01;2026.06.01 04:07:18;73642.06;;;0.34
2026.06.01 02:33:04;Sell;0.02;BTCUSD;73605.17;0.02;2026.06.01 02:38:33;73581.95;;;0.46
2026.06.01 02:33:04;Sell;0.01;BTCUSD;73605.17;0.01;2026.06.01 02:38:33;73581.95;;;0.23
2026.05.31 19:33:08;Sell;0.04;BTCUSD;73498.15;0.04;2026.05.31 19:33:56;73466.61;;;1.27
2026.05.30 07:27:07;Sell;0.04;BTCUSD;73293.85;0.04;2026.05.30 07:34:45;73245.04;;;1.95
2026.05.29 17:08:50;Sell;0.04;BTCUSD;72888.41;0.04;2026.05.29 17:19:24;72790.52;;;3.92
2026.05.29 01:33:27;Sell;0.02;BTCUSD;73550.87;0.02;2026.05.29 01:41:59;73527.04;;;0.48
2026.05.28 17:46:42;Sell;0.01;BTCUSD;72692.18;0.01;2026.05.28 17:56:39;73058.98;;;-3.67
2026.05.28 17:05:35;Sell;0.02;BTCUSD;72684.72;0.02;2026.05.28 17:05:41;72683.88;;;0.01
2026.05.28 17:05:35;Sell;0.01;BTCUSD;72684.72;0.01;2026.05.28 17:05:41;72673.18;;;0.12
2026.05.28 06:36:36;Sell;0.02;BTCUSD;73440.07;0.02;2026.05.28 06:43:58;73397.27;;;0.85
2026.05.28 01:15:40;Sell;0.02;BTCUSD;74258.92;0.02;2026.05.28 04:18:02;74205.63;;;1.07
2026.05.28 01:13:51;Sell;0.04;BTCUSD;74325.11;0.04;2026.05.28 01:15:41;74307.76;;;0.69
2026.05.27 20:56:22;Sell;0.03;BTCUSD;74751.88;0.03;2026.05.27 20:56:27;74717.26;;;1.04
2026.05.27 16:25:38;Sell;0.05;BTCUSD;75263.52;0.05;2026.05.27 16:28:05;75247.25;;;0.82
2026.05.26 20:26:20;Sell;0.02;BTCUSD;76084.94;0.02;2026.05.26 20:30:11;75930.34;;;3.09
2026.05.26 20:20:52;Sell;0.02;BTCUSD;76196.1;0.02;2026.05.26 20:26:28;76087.67;;;2.17
2026.05.26 18:31:17;Sell;0.04;BTCUSD;76455.43;0.04;2026.05.26 18:31:24;76384.92;;;2.82
2026.05.26 17:18:27;Buy;0.04;BTCUSD;77652.61;0.04;2026.05.26 17:18:31;77671.45;;;0.76
2026.05.25 17:06:15;Buy;0.05;BTCUSD;77537.3;0.05;2026.05.25 17:18:40;77554.42;;;0.85
2026.05.25 12:33:49;Buy;0.05;BTCUSD;77641.03;0.05;2026.05.25 12:34:22;77674.87;;;1.69
2026.05.25 12:33:49;Buy;0.02;BTCUSD;77641.03;0.02;2026.05.25 12:34:22;77674.87;;;0.68
2026.05.25 09:47:09;Buy;0.02;BTCUSD;77519.17;0.02;2026.05.25 10:18:47;77192.76;;;-6.52
2026.05.25 09:08:47;Buy;0.02;BTCUSD;77518.16;0.02;2026.05.25 09:09:47;77600.76;;;1.6600000000000001
2026.05.25 08:18:47;Buy;0.02;BTCUSD;77486.99;0.02;2026.05.25 09:09:09;77532.23;;;0.9
2026.05.25 02:15:08;Buy;0.04;BTCUSD;77016.16;0.04;2026.05.25 02:39:37;77117.92;;;4.07
2026.05.24 23:09:20;Credit;;;;;;;;;314
2026.05.24 23:09:19;Balance;;;;;;;;;209
