Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(EUR),Min(pips),Min(EUR),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(EUR)
,05/28/2026 17:12,05/28/2026 22:30,NAS100,Buy,1.900,29897.90000,0.00000,30051.00000,30260.00000,0.0000,0.0000,209.0,340.06,3.69,"",100003,00:05:17:03,,,,,,,,,,,,
,05/28/2026 16:46,05/28/2026 16:47,NAS100,Sell,5.700,30032.40000,0.00000,29896.00000,29903.00000,0.0000,0.0000,-7.0,-34.78,-0.38,"",100101,00:00:00:54,,,,,,,,,,,,
,05/28/2026 05:02,05/28/2026 05:20,USDJPY,Buy,0.320,159.53900,0.00000,159.61000,159.53800,0.0000,0.0000,-7.2,-12.44,-0.13,"",19000,00:00:18:24,0.0,0s,7.2,7.20,0.0,0.0,-7.2,-12.456,0.0,0.0,-7.20,-12.46
,05/27/2026 16:46,05/27/2026 19:34,NAS100,Sell,5.800,30095.90000,0.00000,29913.00000,29945.00000,0.0000,0.0000,-32.0,-161.11,-1.71,"",100101,00:02:47:13,,,,,,,,,,,,
,05/27/2026 08:36,05/27/2026 15:00,USDJPY,Buy,0.330,159.17700,0.00000,159.31900,159.42500,0.0000,0.0000,10.6,18.85,0.20,"",19000,00:06:23:25,100.0,6h 23m,7.7,0.08,12.8,22.784000000000002,0.0,0.0,100.0,82.8,-2.20,-3.92
,05/26/2026 16:45,05/26/2026 16:50,NAS100,Buy,1.900,29776.20000,0.00000,29886.00000,29908.00000,0.0000,0.0000,22.0,35.61,0.38,"",100001,00:00:05:29,,,,,,,,,,,,
,05/26/2026 16:45,05/26/2026 16:50,NAS100,Buy,1.900,29776.20000,0.00000,29886.00000,29914.00000,0.0000,0.0000,28.0,44.60,0.48,"",100000,00:00:05:26,,,,,,,,,,,,
,05/26/2026 16:45,05/26/2026 16:46,NAS100,Buy,1.900,29776.20000,0.00000,29886.00000,29910.00000,0.0000,0.0000,24.0,39.05,0.42,"",100002,00:00:00:57,,,,,,,,,,,,
,05/26/2026 07:57,05/26/2026 13:51,USDJPY,Buy,0.320,158.93300,0.00000,159.00800,159.13300,0.0000,0.0000,12.5,21.59,0.23,"",19000,00:05:53:54,100.0,5h 53m,11.7,0.04,22.4,38.751999999999995,0.0,0.0,100.0,55.8,-9.90,-17.13
,05/25/2026 10:08,05/25/2026 12:32,USDJPY,Buy,0.320,158.75600,0.00000,158.97000,158.91400,0.0000,0.0000,-5.6,-9.69,-0.10,"",19000,00:02:23:58,0.0,0s,5.6,5.60,0.0,0.0,-5.6,-9.687999999999999,0.0,0.0,-5.60,-9.69
,05/22/2026 17:02,05/22/2026 17:03,NAS100,Sell,5.800,29619.50000,0.00000,29480.00000,29496.00000,0.0000,0.0000,-16.0,-77.56,-0.83,"",100101,00:00:00:28,,,,,,,,,,,,
,05/22/2026 08:56,05/22/2026 13:10,USDJPY,Buy,0.330,159.02300,0.00000,159.14500,159.07900,0.0000,0.0000,-6.6,-11.80,-0.13,"",19000,00:04:13:27,0.0,0s,6.9,6.90,0.0,0.0,-6.9,-12.351,0.0,4.3,-6.60,-11.81
,05/21/2026 17:20,05/21/2026 17:23,NAS100,Sell,6.200,29202.00000,0.00000,29104.00000,29105.00000,0.0000,0.0000,-1.0,-2.14,-0.02,"",100100,00:00:03:00,,,,,,,,,,,,
,05/21/2026 16:56,05/21/2026 17:20,NAS100,Buy,2.100,29108.30000,0.00000,29230.00000,29107.00000,0.0000,0.0000,-123.0,-222.77,-2.32,"",100001,00:00:24:02,,,,,,,,,,,,
,05/21/2026 16:56,05/21/2026 17:20,NAS100,Buy,2.100,29108.30000,0.00000,29230.00000,29104.00000,0.0000,0.0000,-126.0,-228.57,-2.33,"",100000,00:00:24:02,,,,,,,,,,,,
,05/21/2026 16:52,05/21/2026 16:53,NAS100,Buy,2.100,29108.30000,0.00000,29194.00000,29190.00000,0.0000,0.0000,-4.0,-6.88,-0.07,"",100002,00:00:01:26,,,,,,,,,,,,
,05/21/2026 05:30,05/21/2026 11:14,USDJPY,Buy,0.340,158.80700,0.00000,158.93500,158.92300,0.0000,0.0000,-1.2,-2.21,-0.02,"",19000,00:05:43:41,98.6,5h 38m,16.5,0.10,15.0,27.6,-1.5,-2.7600000000000002,90.9,1.8,-16.20,-29.81
,05/20/2026 17:12,05/20/2026 17:14,NAS100,Sell,6.400,29089.00000,0.00000,28953.00000,28996.00000,0.0000,0.0000,-43.0,-236.45,-2.35,"",100100,00:00:01:21,,,,,,,,,,,,
,05/20/2026 16:47,05/20/2026 16:49,NAS100,Buy,2.200,28959.50000,0.00000,29125.00000,29066.00000,0.0000,0.0000,-59.0,-111.98,-1.10,"",100001,00:00:02:37,,,,,,,,,,,,
,05/20/2026 16:47,05/20/2026 16:49,NAS100,Buy,2.200,28959.50000,0.00000,29130.00000,29066.00000,0.0000,0.0000,-64.0,-120.90,-1.17,"",100000,00:00:02:37,,,,,,,,,,,,
,05/20/2026 16:45,05/20/2026 16:46,NAS100,Buy,2.200,28959.50000,0.00000,29089.00000,29065.00000,0.0000,0.0000,-24.0,-44.21,-0.43,"",100002,00:00:00:57,,,,,,,,,,,,
,05/19/2026 17:05,05/19/2026 17:06,NAS100,Sell,6.600,28956.30000,0.00000,28776.00000,28769.00000,0.0000,0.0000,7.0,39.78,0.39,"",100101,00:00:00:04,,,,,,,,,,,,
,05/19/2026 08:58,05/19/2026 15:00,USDJPY,Buy,0.360,158.85600,0.00000,159.03600,159.12900,0.0000,0.0000,9.3,18.11,0.18,"",19000,00:06:01:19,100.0,6h 1m,11.0,0.07,13.6,26.52,0.0,0.0,100.0,68.4,-4.30,-8.38
,05/19/2026 04:05,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,5000.00,0,"DP PayPal04 #P6a0bb739886a3",0,00:00:00:00,,,,,,,,,,,,
,05/18/2026 16:45,05/18/2026 16:46,NAS100,Sell,3.400,29246.30000,0.00000,29086.00000,29121.00000,0.0000,0.0000,-35.0,-103.61,-1.92,"",100101,00:00:00:56,,,,,,,,,,,,
,05/18/2026 06:48,05/18/2026 09:00,USDJPY,Buy,0.190,158.80200,0.00000,158.96500,158.92900,0.0000,0.0000,-3.6,-3.70,-0.07,"",19000,00:02:11:52,0.0,0s,3.6,3.60,0.0,0.0,-3.6,-3.708,0.0,0.0,-3.60,-3.71
,05/15/2026 17:13,05/15/2026 18:24,NAS100,Buy,1.100,29073.90000,0.00000,29214.00000,29237.00000,0.0000,0.0000,23.0,22.52,0.42,"",100000,00:01:10:37,,,,,,,,,,,,
,05/15/2026 17:13,05/15/2026 18:14,NAS100,Buy,1.100,29073.90000,0.00000,29214.00000,29199.00000,0.0000,0.0000,-15.0,-13.72,-0.25,"",100001,00:01:00:54,,,,,,,,,,,,
,05/15/2026 17:13,05/15/2026 17:14,NAS100,Buy,1.100,29073.90000,0.00000,29214.00000,29201.00000,0.0000,0.0000,-13.0,-11.83,-0.22,"",100002,00:00:00:34,,,,,,,,,,,,
,05/15/2026 16:45,05/15/2026 16:48,NAS100,Sell,3.400,29212.20000,0.00000,29071.00000,29081.00000,0.0000,0.0000,-10.0,-27.79,-0.51,"",100100,00:00:02:43,,,,,,,,,,,,
,05/15/2026 05:01,05/15/2026 09:48,USDJPY,Buy,0.190,158.32700,0.00000,158.58000,158.43400,0.0000,0.0000,-14.6,-15.04,-0.27,"",19000,00:04:47:01,11.9,34m,22.4,1.87,7.8,8.034,-14.6,-15.038,34.8,0.0,-22.40,-23.07
,05/14/2026 16:45,05/14/2026 16:58,NAS100,Buy,1.100,29384.00000,0.00000,29553.00000,29509.00000,0.0000,0.0000,-44.0,-41.02,-0.74,"",100003,00:00:13:32,,,,,,,,,,,,
,05/14/2026 16:45,05/14/2026 16:58,NAS100,Buy,1.100,29501.30000,0.00000,29553.00000,29512.00000,0.0000,0.0000,-41.0,-38.48,-0.69,"",100005,00:00:13:31,,,,,,,,,,,,
,05/14/2026 16:45,05/14/2026 16:46,NAS100,Buy,1.100,29501.30000,0.00000,29553.00000,29583.00000,0.0000,0.0000,30.0,28.32,0.51,"",100004,00:00:01:00,,,,,,,,,,,,
,05/14/2026 05:00,05/14/2026 07:05,USDJPY,Buy,0.190,157.80600,0.00000,157.93300,157.75800,0.0000,0.0000,-17.5,-17.99,-0.32,"",19000,00:02:04:54,0.0,0s,17.5,17.51,0.0,0.0,-17.5,-18.025000000000002,0.0,0.0,-17.50,-18.03
,05/13/2026 17:53,05/13/2026 21:58,NAS100,Buy,1.000,29101.80000,0.00000,29215.00000,29410.00000,0.0000,0.0000,195.0,166.88,3.09,"",100001,00:04:05:46,,,,,,,,,,,,
,05/13/2026 17:53,05/13/2026 21:58,NAS100,Buy,1.000,29101.80000,0.00000,29212.00000,29415.00000,0.0000,0.0000,203.0,173.37,3.32,"",100000,00:04:05:16,,,,,,,,,,,,
,05/13/2026 17:52,05/13/2026 21:02,NAS100,Buy,1.000,29101.80000,0.00000,29212.00000,29377.00000,0.0000,0.0000,165.0,140.80,2.77,"",100002,00:03:09:26,,,,,,,,,,,,
,05/13/2026 16:45,05/13/2026 17:20,NAS100,Sell,3.200,29209.30000,0.00000,29100.00000,29088.00000,0.0000,0.0000,12.0,31.98,0.63,"",100100,00:00:34:33,,,,,,,,,,,,
,05/13/2026 09:51,05/13/2026 14:38,USDJPY,Buy,0.180,157.56400,0.00000,157.78900,157.74600,0.0000,0.0000,-4.3,-4.19,-0.08,"",19000,00:04:46:53,33.5,1h 36m,11.8,0.57,7.5,7.2749999999999995,-4.3,-4.170999999999999,63.6,0.0,-11.80,-11.45
,05/12/2026 16:57,05/12/2026 17:02,NAS100,Sell,3.300,29204.20000,0.00000,29054.00000,29062.00000,0.0000,0.0000,-8.0,-20.82,-0.41,"",100100,00:00:04:28,,,,,,,,,,,,
,05/12/2026 16:45,05/12/2026 16:57,NAS100,Buy,1.100,29064.00000,0.00000,29205.00000,29054.00000,0.0000,0.0000,-151.0,-140.98,-2.70,"",100001,00:00:12:33,,,,,,,,,,,,
,05/12/2026 16:45,05/12/2026 16:46,NAS100,Buy,1.100,29064.00000,0.00000,29205.00000,29164.00000,0.0000,0.0000,-41.0,-37.87,-0.72,"",100000,00:00:01:18,,,,,,,,,,,,
,05/12/2026 16:45,05/12/2026 16:46,NAS100,Buy,1.100,29064.00000,0.00000,29204.00000,29193.00000,0.0000,0.0000,-11.0,-9.84,-0.19,"",100002,00:00:01:05,,,,,,,,,,,,
,05/12/2026 08:55,05/12/2026 08:58,USDJPY,Sell,0.190,157.44800,0.00000,157.11000,157.34700,0.0000,0.0000,-23.7,-24.33,-0.46,"",19001,00:00:02:07,,,,,,,,,,,,
,05/12/2026 05:31,05/12/2026 08:55,USDJPY,Buy,0.190,157.23700,0.00000,157.59400,157.11000,0.0000,0.0000,-48.4,-49.77,-0.93,"",19000,00:03:24:34,10.8,22m,63.6,3.18,15.2,15.655999999999999,-48.4,-49.852,23.9,0.0,-63.60,-65.51
,05/11/2026 18:30,05/11/2026 21:57,NAS100,Buy,1.100,29199.50000,0.00000,29352.00000,29343.00000,0.0000,0.0000,-9.0,-8.59,-0.16,"",100003,00:03:26:53,,,,,,,,,,,,
,05/11/2026 18:30,05/11/2026 19:42,NAS100,Buy,1.100,29305.30000,0.00000,29352.00000,29302.00000,0.0000,0.0000,-50.0,-47.18,-0.87,"",100004,00:01:11:33,,,,,,,,,,,,
,05/11/2026 18:30,05/11/2026 19:42,NAS100,Buy,1.100,29305.30000,0.00000,29352.00000,29302.00000,0.0000,0.0000,-50.0,-47.27,-0.87,"",100005,00:01:11:33,,,,,,,,,,,,
,05/11/2026 17:29,05/11/2026 17:30,NAS100,Sell,3.400,29320.40000,0.00000,29200.00000,29202.00000,0.0000,0.0000,-2.0,-4.90,-0.09,"",100101,00:00:00:09,,,,,,,,,,,,
,05/11/2026 05:00,05/11/2026 09:28,USDJPY,Buy,0.190,156.83300,0.00000,157.10600,157.06700,0.0000,0.0000,-3.9,-4.01,-0.07,"",19000,00:04:27:18,14.6,39m,7.8,1.00,3.9,4.017,-3.9,-4.017,50.0,0.0,-7.80,-8.03
,05/08/2026 16:45,05/08/2026 21:09,NAS100,Buy,1.000,28773.50000,0.00000,28910.00000,29189.00000,0.0000,0.0000,279.0,237.23,4.55,"",100001,00:04:24:00,,,,,,,,,,,,
,05/08/2026 16:45,05/08/2026 21:08,NAS100,Buy,1.000,28773.50000,0.00000,28910.00000,29190.00000,0.0000,0.0000,280.0,237.65,4.77,"",100000,00:04:23:59,,,,,,,,,,,,
,05/08/2026 16:45,05/08/2026 16:46,NAS100,Buy,1.000,28773.50000,0.00000,28910.00000,28948.00000,0.0000,0.0000,38.0,32.51,0.66,"",100002,00:00:01:00,,,,,,,,,,,,
,05/07/2026 05:55,05/07/2026 08:14,USDJPY,Buy,0.170,156.02300,0.00000,156.29200,156.32000,0.0000,0.0000,2.8,2.59,0.05,"",19001,00:02:18:18,0.8,1m,0.0,0.36,2.8,2.604,0.0,0.0,100.0,100.0,0.00,0.00
,05/07/2026 06:49,05/07/2026 07:38,USDJPY,Buy,0.170,156.02300,0.00000,156.38100,156.33000,0.0000,0.0000,-5.1,-4.72,-0.10,"",19000,00:00:49:01,0.0,0s,5.1,5.10,0.0,0.0,-5.1,-4.743,0.0,0.0,-5.10,-4.74
,05/05/2026 07:30,05/06/2026 18:45,USDJPY,Buy,3.370,28358.30000,0.00000,157.28300,27035.11421,0.0000,0.0000,2687783.1,-1.76,-0.04,"expired [2026.05.06 18:45]",,01:11:14:38,0.0,0s,1.9,1.90,0.0,0.0,-1.9,-0.0,0.0,141462368.4,2687783.10,0.00
,05/05/2026 07:30,05/06/2026 18:04,USDJPY,Buy,3.370,28358.30000,0.00000,157.28300,27018.97001,0.0000,0.0000,2686168.7,-5.00,-0.10,"",,01:10:33:38,0.0,0s,5.4,5.40,0.0,0.0,-5.4,-0.0,0.0,49743964.8,2686168.70,0.00
,05/06/2026 16:45,05/06/2026 16:50,NAS100,Buy,1.100,28242.70000,0.00000,28389.00000,28365.00000,0.0000,0.0000,-24.0,-23.03,-0.46,"",100003,00:00:05:14,,,,,,,,,,,,
,05/06/2026 16:45,05/06/2026 16:47,NAS100,Buy,1.100,28343.90000,0.00000,28389.00000,28367.00000,0.0000,0.0000,-22.0,-20.68,-0.41,"",100005,00:00:02:12,,,,,,,,,,,,
,05/06/2026 16:45,05/06/2026 16:46,NAS100,Buy,1.100,28343.90000,0.00000,28389.00000,28385.00000,0.0000,0.0000,-4.0,-4.49,-0.09,"",100004,00:00:01:00,,,,,,,,,,,,
,05/06/2026 06:07,05/06/2026 07:27,USDJPY,Buy,0.170,157.60200,0.00000,157.84100,157.58800,0.0000,0.0000,-25.3,-23.28,-0.46,"",19001,00:01:20:09,0.0,0s,25.3,25.32,0.0,0.0,-25.3,-23.276000000000003,0.0,0.0,-25.30,-23.28
,05/06/2026 06:17,05/06/2026 06:54,USDJPY,Buy,0.170,157.60200,0.00000,157.88500,157.79100,0.0000,0.0000,-9.4,-8.64,-0.17,"",19000,00:00:37:42,0.0,0s,9.4,9.41,0.0,0.0,-9.4,-8.648000000000001,0.0,0.0,-9.40,-8.65
,05/05/2026 16:45,05/05/2026 19:39,NAS100,Buy,1.100,27874.70000,0.00000,27989.00000,28011.00000,0.0000,0.0000,22.0,20.11,0.40,"",100001,00:02:54:02,,,,,,,,,,,,
,05/05/2026 16:45,05/05/2026 19:39,NAS100,Buy,1.100,27874.70000,0.00000,27987.00000,28012.00000,0.0000,0.0000,25.0,23.69,0.47,"",100000,00:02:54:00,,,,,,,,,,,,
,05/05/2026 16:45,05/05/2026 19:36,NAS100,Buy,1.100,27874.70000,0.00000,27985.00000,28021.00000,0.0000,0.0000,36.0,34.03,0.69,"",100002,00:02:51:00,,,,,,,,,,,,
,05/04/2026 06:10,05/05/2026 18:45,USDJPY,Buy,9.770,27983.80000,0.00000,157.20700,27465.08159,0.0000,0.0000,2730787.5,0.00,0.00,"expired [2026.05.05 18:45]",,01:12:34:41,0.0,0s,65.9,66.23,0.0,0.0,-65.9,-0.0,0.0,4143935.4,2730787.50,0.00
,05/04/2026 16:46,05/05/2026 18:31,NAS100,Buy,9.700,27983.80000,0.00000,27786.00000,27869.95876,0.0000,0.0000,84.0,-5.63,-0.11,"",,01:01:44:23,,,,,,,,,,,,
,05/04/2026 18:19,05/04/2026 19:42,NAS100,Sell,3.200,27786.20000,0.00000,27702.00000,27624.00000,0.0000,0.0000,78.0,211.09,4.44,"",100100,00:01:22:18,,,,,,,,,,,,
,05/04/2026 17:23,05/04/2026 18:18,NAS100,Buy,1.100,27710.90000,0.00000,27806.00000,27732.00000,0.0000,0.0000,-74.0,-69.05,-1.43,"",100000,00:00:55:11,,,,,,,,,,,,
,05/04/2026 17:23,05/04/2026 18:17,NAS100,Buy,1.100,27710.90000,0.00000,27806.00000,27739.00000,0.0000,0.0000,-67.0,-63.02,-1.29,"",100001,00:00:54:24,,,,,,,,,,,,
,05/01/2026 16:50,05/01/2026 20:35,NAS100,Buy,1.000,27513.70000,0.00000,27690.00000,27769.00000,0.0000,0.0000,79.0,67.35,1.40,"",100003,00:03:44:26,,,,,,,,,,,,
,05/01/2026 16:51,05/01/2026 20:30,NAS100,Buy,1.000,27635.90000,0.00000,27700.00000,27778.00000,0.0000,0.0000,78.0,66.46,1.40,"",100004,00:03:39:11,,,,,,,,,,,,
,05/01/2026 16:50,05/01/2026 20:04,NAS100,Buy,1.000,27635.90000,0.00000,27690.00000,27730.00000,0.0000,0.0000,40.0,34.17,0.72,"",100005,00:03:13:20,,,,,,,,,,,,
,05/01/2026 12:30,05/01/2026 17:00,USDJPY,Buy,0.170,156.28500,158.15600,156.73200,156.47600,0.0000,0.0000,-25.6,-23.64,-0.50,"",19006,00:04:29:43,26.1,1h 10m,46.3,1.73,20.7,19.044,-35.8,-32.936,36.6,18.1,-46.30,-42.60
,05/01/2026 10:56,05/01/2026 11:27,USDJPY,Buy,0.170,156.29600,158.01600,156.63700,156.29500,0.0000,0.0000,-34.2,-31.67,-0.66,"",19007,00:00:30:24,0.0,0s,34.2,34.25,0.0,0.0,-34.2,-31.806000000000004,0.0,0.0,-34.20,-31.81
,05/01/2026 03:15,05/01/2026 09:45,USDJPY,Buy,0.170,156.96700,158.55300,157.16800,156.94800,0.0000,0.0000,-22.0,-20.32,-0.42,"",19001,00:06:29:59,42.4,2h 45m,34.2,1.80,12.2,11.224,-22.0,-20.240000000000002,35.7,0.0,-34.20,-31.46
,05/01/2026 06:39,05/01/2026 06:40,USDJPY,Sell,0.170,157.10400,156.28100,156.98300,157.10400,0.0000,0.0000,-12.1,-11.16,-0.23,"",19004,00:00:00:17,,,,,,,,,,,,
,05/01/2026 05:45,05/01/2026 06:39,USDJPY,Buy,0.170,157.03700,158.18700,157.29300,157.01900,0.0000,0.0000,-27.4,-25.27,-0.52,"",19003,00:00:54:32,0.0,0s,27.4,27.47,0.0,0.0,-27.4,-25.208,0.0,0.0,-27.40,-25.21
,05/01/2026 03:53,05/01/2026 05:44,USDJPY,Sell,0.340,157.28500,156.48300,157.13300,157.19950,0.0000,0.0000,-6.7,-14.00,-0.29,"",,00:01:51:30,0.0,0s,15.2,15.22,0.0,0.0,-15.2,-31.767999999999997,0.0,55.9,-6.70,-14.00
,04/29/2026 03:56,04/30/2026 14:55,USDJPY,Sell,0.340,160.47800,162.25400,159.51700,157.96950,0.0000,0.0000,154.8,-5.55,-0.11,"expired [2026.04.30 14:55]",,01:10:58:58,0.0,0s,6.1,6.10,0.0,-0.0,-6.1,0.244,0.0,2637.7,154.80,-6.19
,04/30/2026 03:42,04/30/2026 10:57,USDJPY,Buy,0.170,160.07800,161.69500,160.21500,160.07300,0.0000,0.0000,-14.2,-12.91,-0.27,"",19001,00:07:14:37,99.8,7h 13m,63.2,0.29,49.0,44.59,-14.2,-12.922,77.5,0.0,-63.20,-57.51
,04/30/2026 05:30,04/30/2026 10:57,USDJPY,Buy,0.170,160.17500,161.36700,160.32800,160.17000,0.0000,0.0000,-15.8,-14.35,-0.29,"",19003,00:05:26:35,44.1,2h 24m,53.5,0.42,37.7,34.307,-15.8,-14.378000000000002,70.5,0.0,-53.50,-48.69
,04/29/2026 03:40,04/30/2026 08:10,USDJPY,Sell,0.340,160.23800,159.34200,159.52800,160.01350,0.0000,0.0000,-48.6,-3.00,-0.06,"expired [2026.04.30 08:10]",,01:04:29:22,0.0,0s,3.3,3.30,0.0,0.0,-3.3,-0.19799999999999998,0.0,1372.7,-48.60,-2.92
,04/29/2026 03:17,04/30/2026 07:45,USDJPY,Buy,0.340,160.21100,159.39400,159.57700,160.03400,0.0000,0.0000,45.7,-3.91,-0.08,"expired [2026.04.30 07:45]",,01:04:27:30,0.0,0s,4.3,4.30,0.0,-0.0,-4.3,0.38699999999999996,0.0,1162.8,45.70,-4.11
,04/30/2026 03:07,04/30/2026 03:42,USDJPY,Sell,0.170,160.19700,159.78400,160.12900,160.21100,0.0000,0.0000,-8.2,-7.45,-0.15,"",19000,00:00:34:55,0.0,0s,8.2,8.20,0.0,0.0,-8.2,-7.462,0.0,0.0,-8.20,-7.46
,04/28/2026 17:38,04/29/2026 18:44,NAS100,Sell,6.600,27105.20000,0.00000,26948.00000,27057.50000,0.0000,0.0000,-109.5,6.21,0.13,"",,01:01:05:41,,,,,,,,,,,,
,04/28/2026 10:55,04/29/2026 17:58,USDJPY,Buy,3.470,27105.20000,0.00000,159.52600,25870.49468,0.0000,0.0000,2571096.9,-1.55,-0.03,"",,01:07:02:11,36.9,11h 27m,35.6,0.37,26.0,0.0,-9.6,-0.0,73.0,7222209.3,2571070.90,0.00
,04/28/2026 14:16,04/29/2026 17:53,USDJPY,Buy,3.470,27105.20000,0.00000,159.69600,25860.98464,0.0000,0.0000,2570128.9,-16.95,-0.35,"",,01:03:36:11,0.0,0s,18.6,18.62,0.0,0.0,-18.6,-0.0,0.0,13817997.3,2570128.90,0.00
,04/28/2026 16:48,04/29/2026 17:50,NAS100,Buy,4.300,27105.20000,0.00000,27128.00000,27154.23256,0.0000,0.0000,26.2,-36.95,-0.75,"",,01:01:01:11,,,,,,,,,,,,
,04/29/2026 11:52,04/29/2026 17:00,USDJPY,Buy,0.170,159.62800,161.55200,159.79500,160.17600,0.0000,0.0000,38.1,34.61,0.71,"",19006,00:05:07:08,100.0,5h 7m,4.1,0.03,38.9,35.399,0.0,0.0,100.0,97.9,-0.80,-0.73
,04/29/2026 11:04,04/29/2026 17:00,USDJPY,Buy,0.170,159.62400,161.39200,159.71000,160.17600,0.0000,0.0000,46.6,42.33,0.87,"",19007,00:05:55:01,100.0,5h 55m,4.1,0.02,47.4,43.134,0.0,0.0,100.0,98.3,-0.80,-0.73
,04/29/2026 08:09,04/29/2026 17:00,USDJPY,Buy,0.170,159.53900,160.73000,159.67400,160.17600,0.0000,0.0000,50.2,45.60,0.95,"",19003,00:08:50:21,100.0,8h 50m,9.0,0.02,51.0,46.410000000000004,0.0,0.0,100.0,98.4,-0.80,-0.73
,04/29/2026 16:51,04/29/2026 16:58,NAS100,Buy,1.100,27013.20000,0.00000,27107.00000,27108.00000,0.0000,0.0000,1.0,0.66,0.01,"",100000,00:00:07:07,,,,,,,,,,,,
,04/29/2026 16:50,04/29/2026 16:51,NAS100,Buy,1.100,27013.20000,0.00000,27111.00000,27102.00000,0.0000,0.0000,-9.0,-8.28,-0.17,"",100002,00:00:00:14,,,,,,,,,,,,
