Open Trades
Open Date,Symbol,Action,Open Price,TP,SL,Profit,Pips,Swap
04/13/2026 01:00,SPX500,Sell,6738.6,6650.0,0.0,-75.22,-8746.0,1.0
06/02/2026 01:00,SPX500,Buy,7597.9,0.0,0.0,1.26,147.0,-0.11

