Tags,Open Date,Close Date,Symbol,Action,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,05/27/2026 08:32,05/27/2026 08:42,XAUUSD,Buy,4493.35000,4528.30000,4499.09000,4493.16000,-0.0600,0.0000,-593.0,-5.99,-2.31,"pendingOrder[sl]",0,00:00:09:36,30.0,2m,685.0,6.45,92.0,0.92,-593.0,-5.93,13.4,0.0,-685.00,-6.85
,05/25/2026 12:33,05/25/2026 12:44,XAUUSD,Sell,4565.84000,4546.46000,4562.64000,4565.84000,-0.1200,0.0000,-320.0,-6.52,-2.45,"pendingOrder[sl]",0,00:00:10:49,0.0,0s,320.0,322.58,0.0,0.0,-320.0,-6.4,0.0,0.0,-320.00,-6.40
,05/22/2026 16:42,05/22/2026 17:00,XAUUSD,Buy,4510.00000,4538.15000,4514.65000,4509.38000,-0.1200,0.0000,-527.0,-10.66,-3.85,"pendingOrder",0,00:00:17:44,50.0,8m,1135.0,2.44,330.0,6.6000000000000005,-805.0,-16.1,29.1,24.5,-857.00,-17.14
,05/22/2026 11:10,05/22/2026 12:52,XAUUSD,Sell,4533.70000,4504.78000,4528.94000,4533.70000,-0.1200,0.0000,-476.0,-9.64,-3.37,"pendingOrder",0,00:01:41:42,95.1,1h 36m,1871.0,0.34,1395.0,27.900000000000002,-476.0,-9.52,74.6,0.0,-1871.00,-37.42
,05/21/2026 19:06,05/21/2026 20:10,XAUUSD,Sell,4528.39000,4473.05000,4519.25000,4525.67000,-0.0600,0.0000,-642.0,-6.48,-2.21,"pendingOrder",0,00:01:04:30,82.9,53m,1243.0,2.44,361.0,3.61,-882.0,-8.82,29.0,19.3,-1003.00,-10.03
,05/21/2026 12:11,05/21/2026 12:21,XAUUSD,Sell,4541.67000,4514.72000,4537.24000,4542.15000,-0.1200,0.0000,-491.0,-9.94,-3.28,"pendingOrder",0,00:00:09:46,0.0,0s,491.0,500.00,0.0,0.0,-491.0,-9.82,0.0,0.0,-491.00,-9.82
,05/15/2026 12:39,05/15/2026 12:39,EURJPY,Sell,0.00000,0.00000,184.24300,184.24700,-0.0600,0.0000,-0.4,-0.08,-0.03,"",0,00:00:00:07,,,,,,,,,,,,
,05/13/2026 13:09,05/13/2026 14:45,XAUUSD,Sell,4711.02000,4682.47000,4707.30000,4705.10000,-0.1200,0.0000,220.0,4.28,1.43,"positionOrder",0,00:01:36:25,100.0,1h 36m,1287.0,0.00,1507.0,30.14,0.0,0.0,100.0,14.6,-1287.00,-25.74
,05/08/2026 13:37,05/08/2026 15:30,XAUUSD,Sell,4720.00000,4675.36000,4725.39000,4714.74000,-0.0600,0.0000,1065.0,10.59,3.68,"pendingOrder",0,00:01:53:30,93.0,1h 45m,981.0,0.10,2046.0,20.46,-195.0,-1.95,91.3,56.2,-981.00,-9.81
,05/01/2026 16:55,05/01/2026 17:00,XAUUSD,Sell,4636.76000,4568.60000,4625.55000,4637.11000,-0.0600,0.0000,-1156.0,-11.62,-3.88,"pendingOrder[sl]",0,00:00:05:14,60.0,3m,1460.0,3.80,304.0,3.04,-1156.0,-11.56,20.8,0.0,-1460.00,-14.60
,04/29/2026 10:26,04/29/2026 11:34,XAUUSD,Buy,4563.46000,4609.67000,4571.07000,4563.46000,-0.0600,0.0000,-761.0,-7.67,-2.50,"pendingOrder[sl]",0,00:01:07:41,29.5,19m,1527.0,1.27,672.0,6.72,-855.0,-8.55,44.0,6.2,-1433.00,-14.33
,04/27/2026 17:53,04/27/2026 18:02,XAUUSD,Buy,4673.91000,4734.50000,4683.93000,4673.91000,-0.0600,0.0000,-1002.0,-10.08,-3.18,"pendingOrder[sl]",0,00:00:08:55,0.0,0s,1079.0,1111.11,0.0,0.0,-1079.0,-10.790000000000001,0.0,7.1,-1002.00,-10.02
,04/17/2026 13:40,04/17/2026 14:48,XAUUSD,Buy,4779.77000,4808.14000,4784.45000,4808.14000,-0.1200,0.0000,2369.0,47.26,17.51,"pendingOrder[tp]",0,00:01:07:35,94.2,1h 3m,480.0,0.07,2369.0,47.38,-173.0,-3.46,93.2,100.0,0.00,0.00
,04/07/2026 14:13,04/07/2026 16:41,XAUUSD,Buy,4639.00000,4684.55000,4637.50000,4638.90000,-0.0600,0.0000,140.0,1.34,0.50,"pendingOrder[sl]",0,00:02:28:51,98.7,2h 26m,3018.0,0.09,2981.0,29.810000000000002,-262.0,-2.62,91.9,12.4,-2841.00,-28.41
,03/27/2026 13:44,03/27/2026 14:06,XAUUSD,Buy,4404.44000,4471.87000,4414.83000,4407.63000,-0.0600,0.0000,-720.0,-7.26,-2.63,"positionOrder[closePosition]",0,00:00:22:11,22.8,5m,1074.0,2.03,354.0,3.54,-720.0,-7.2,33.0,0.0,-1074.00,-10.74
,03/25/2026 17:50,03/25/2026 18:18,XAUUSD,Sell,4586.90000,4529.08000,4577.27000,4529.08000,-0.0600,0.0000,4819.0,48.13,21.13,"pendingOrder[tp]",0,00:00:27:08,100.0,27m,1281.0,0.00,4819.0,48.19,0.0,0.0,100.0,100.0,0.00,0.00
,03/24/2026 21:39,03/24/2026 23:23,XAUUSD,Sell,4419.00000,4353.45000,4420.86000,4427.28000,-0.0600,0.0000,-642.0,-6.48,-2.77,"pendingOrder",0,00:01:43:56,97.2,1h 41m,4981.0,0.44,3455.0,34.550000000000004,-1526.0,-15.26,69.4,17.7,-4097.00,-40.97
,03/18/2026 09:50,03/18/2026 11:45,XAUUSD,Sell,5019.81000,4983.46000,5013.78000,4983.46000,-0.0600,0.0000,3032.0,30.26,14.83,"pendingOrder",0,00:01:55:08,99.2,1h 54m,759.0,0.03,3101.0,31.01,-91.0,-0.91,97.1,97.8,-69.00,-0.69
,03/12/2026 16:53,03/12/2026 17:37,XAUUSD,Buy,5143.71000,5184.75000,5150.48000,5148.45000,-0.0600,0.0000,-203.0,-2.09,-1.01,"",0,00:00:43:26,81.9,35m,1987.0,0.69,1177.0,11.77,-810.0,-8.1,59.2,30.5,-1380.00,-13.80
,03/10/2026 15:46,03/10/2026 16:00,XAUUSD,Sell,5193.94000,5154.28000,5187.39000,5193.97000,-0.0600,0.0000,-658.0,-6.64,-3.12,"[sl]",0,00:00:14:35,85.8,12m,1328.0,1.06,644.0,6.44,-684.0,-6.84,48.5,2.0,-1302.00,-13.02
,02/25/2026 13:10,02/25/2026 13:16,XAUUSD,Buy,5160.12000,5211.59000,5168.64000,5159.87000,-0.0600,0.0000,-877.0,-8.83,-3.99,"[sl]",0,00:00:05:59,83.4,4m,2481.0,0.55,1604.0,16.04,-877.0,-8.77,64.7,0.0,-2481.00,-24.81
