Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Pips,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
06/02/2026 16:30,06/02/2026 16:31,DJ30,Buy,0.900,0.00000,0.00000,50988.03000,51075.46000,87.4,18.96,00:00:01:09,,,,,,,,,,,,
06/01/2026 16:38,06/01/2026 16:40,NAS100,Buy,0.500,0.00000,0.00000,30436.00000,30402.70000,-33.3,-3.86,00:00:02:07,,,,,,,,,,,,
05/28/2026 16:30,05/28/2026 16:33,NAS100,Buy,0.200,0.00000,0.00000,30052.97000,30011.58000,-41.4,-1.88,00:00:03:17,,,,,,,,,,,,
05/27/2026 16:33,05/27/2026 16:46,DJ30,Buy,0.900,0.00000,0.00000,50672.54000,50643.44000,-29.1,-5.62,00:00:12:59,,,,,,,,,,,,
05/27/2026 16:31,05/27/2026 16:37,NAS100,Sell,0.300,0.00000,0.00000,30090.27000,30067.84000,22.4,1.47,00:00:05:28,,,,,,,,,,,,
05/27/2026 16:30,05/27/2026 16:31,NAS100,Sell,0.700,0.00000,0.00000,30123.77000,30121.09000,2.7,0.41,00:00:01:00,,,,,,,,,,,,
05/27/2026 10:08,05/27/2026 10:13,USOUSD,Sell,0.200,0.00000,0.00000,93.74100,94.04900,-30.8,-11.87,00:00:05:04,,,,,,,,,,,,
05/27/2026 10:01,05/27/2026 10:05,GER40,Buy,0.300,0.00000,0.00000,25311.73000,25322.13000,10.4,0.70,00:00:04:42,,,,,,,,,,,,
05/26/2026 20:17,05/26/2026 20:17,NAS100,Buy,0.900,0.00000,0.00000,29934.20000,29933.90000,-0.3,-0.05,00:00:00:10,,,,,,,,,,,,
05/26/2026 16:31,05/26/2026 16:35,DJ30,Sell,0.900,0.00000,50689.10000,50744.45000,50689.55000,54.9,10.60,00:00:03:52,,,,,,,,,,,,
05/23/2026 15:14,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0,0,00:00:00:00,,,,,,,,,,,,
05/21/2026 16:31,05/21/2026 16:34,DJ30,Sell,0.100,0.00000,0.00000,49838.99000,49799.56000,39.4,1.63,00:00:03:03,,,,,,,,,,,,
05/21/2026 16:30,05/21/2026 16:32,DJ30,Sell,0.100,0.00000,49812.28000,49865.49000,49813.56000,51.9,2.19,00:00:02:13,,,,,,,,,,,,
05/20/2026 16:31,05/20/2026 16:32,DJ30.R,Sell,0.100,0.00000,0.00000,49434.45000,49385.55000,48.9,2.11,00:00:00:49,,,,,,,,,,,,
05/20/2026 16:30,05/20/2026 16:31,DJ30.R,Sell,0.500,0.00000,0.00000,49488.40000,49453.55000,34.9,8.11,00:00:00:58,,,,,,,,,,,,
05/20/2026 13:19,05/20/2026 13:47,XAUUSD,Buy,0.010,0.00000,0.00000,4489.00000,4494.15000,515.0,2.46,00:00:28:10,,,,,,,,,,,,
05/20/2026 10:09,05/20/2026 10:15,GER40.,Buy,0.100,0.00000,0.00000,24379.63000,24352.18000,-27.5,-1.50,00:00:05:26,,,,,,,,,,,,
05/20/2026 04:24,05/20/2026 04:26,XAUUSD,Sell,0.010,0.00000,0.00000,4483.55000,4483.23000,32.0,0.15,00:00:01:34,,,,,,,,,,,,
05/20/2026 04:20,05/20/2026 04:24,NAS100,Buy,0.100,0.00000,0.00000,28922.95000,28895.65000,-27.3,-1.27,00:00:03:52,,,,,,,,,,,,
05/19/2026 16:35,05/19/2026 20:18,XAUUSD,Buy,0.010,0.00000,0.00000,4475.92000,4508.94000,3302.0,18.11,00:03:43:16,100.0,3h 43m,1779.0,0.00,3302.0,,0.0,,100.0,100.0,0.00,
05/19/2026 16:33,05/19/2026 16:33,NAS100,Buy,0.100,0.00000,0.00000,28914.10000,28914.30000,0.2,0.01,00:00:00:20,,,,,,,,,,,,
05/18/2026 16:42,05/18/2026 16:45,NAS100,Sell,0.100,0.00000,0.00000,29158.05000,29127.35000,30.7,1.71,00:00:03:22,,,,,,,,,,,,
05/18/2026 16:34,05/18/2026 16:38,DJ30.R,Sell,0.100,0.00000,0.00000,49527.45000,49518.55000,8.9,0.50,00:00:03:29,,,,,,,,,,,,
05/18/2026 06:52,05/18/2026 06:57,XAUUSD,Buy,0.010,0.00000,0.00000,4542.39000,4542.77000,38.0,0.21,00:00:05:48,,,,,,,,,,,,
05/15/2026 20:36,,,Withdrawal,0.000,0.00000,0.00000,0.00000,0.00000,0.0,0,00:00:00:00,,,,,,,,,,,,
05/15/2026 16:23,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0,0,00:00:00:00,,,,,,,,,,,,

