Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USC),Min(pips),Min(USC),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USC)
,06/02/2026 20:06,06/02/2026 20:08,XAUUSD,Buy,0.020,0.00000,0.00000,4490.72000,4491.14000,0.0000,0.0000,42.0,0.84,0.01,2911,00:00:02:03,,,,,,,,,,,,
,06/02/2026 20:06,06/02/2026 20:08,XAUUSD,Buy,0.010,0.00000,0.00000,4491.82000,4491.03000,0.0000,0.0000,-79.0,-0.79,-0.01,2911,00:00:02:48,,,,,,,,,,,,
,06/02/2026 20:07,06/02/2026 20:08,XAUUSD,Buy,0.030,0.00000,0.00000,4489.72000,4491.38000,0.0000,0.0000,166.0,4.98,0.05,2911,00:00:01:27,,,,,,,,,,,,
,06/02/2026 19:54,06/02/2026 20:04,XAUUSD,Sell,0.010,0.00000,0.00000,4490.28000,4490.24000,0.0000,0.0000,4.0,0.04,0.00,2911,00:00:10:35,10.0,1m,0.0,0.25,4.0,0.04,0.0,0.0,100.0,100.0,0.00,0.00
,06/02/2026 20:00,06/02/2026 20:04,XAUUSD,Sell,0.030,0.00000,0.00000,4492.43000,4490.15000,0.0000,0.0000,228.0,6.77,0.06,2911,00:00:04:38,25.0,1m,0.0,0.00,228.0,6.84,0.0,0.0,100.0,100.0,0.00,0.00
,06/02/2026 19:58,06/02/2026 20:04,XAUUSD,Sell,0.020,0.00000,0.00000,4491.22000,4490.14000,0.0000,0.0000,108.0,2.14,0.02,2911,00:00:05:50,16.7,58s,0.0,0.01,108.0,2.16,0.0,0.0,100.0,100.0,0.00,0.00
,06/02/2026 20:02,06/02/2026 20:04,XAUUSD,Buy,0.020,0.00000,0.00000,4490.72000,4489.92000,0.0000,0.0000,-80.0,-1.60,-0.01,2911,00:00:02:40,,,,,,,,,,,,
,06/02/2026 20:01,06/02/2026 20:04,XAUUSD,Buy,0.010,0.00000,0.00000,4492.26000,4489.92000,0.0000,0.0000,-234.0,-2.34,-0.02,2911,00:00:03:27,,,,,,,,,,,,
,06/02/2026 19:42,06/02/2026 19:51,XAUUSD,Sell,0.010,0.00000,0.00000,4488.94000,4490.25000,0.0000,0.0000,-131.0,-1.30,-0.01,2911,00:00:09:35,0.0,0s,131.0,131.58,0.0,0.0,-131.0,-1.31,0.0,0.0,-131.00,-1.31
,06/02/2026 19:44,06/02/2026 19:51,XAUUSD,Sell,0.030,0.00000,0.00000,4490.62000,4490.24000,0.0000,0.0000,38.0,1.13,0.01,2911,00:00:07:16,14.3,1m,0.0,0.03,38.0,1.14,0.0,0.0,100.0,100.0,0.00,0.00
