Open Date,Close Date,Symbol,Action,Units/Lots,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USC),Min(pips),Min(USC),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USC)
05/28/2026 07:30,05/28/2026 07:34,XAUUSD,Sell,0.120,4392.47000,4389.47000,0.0000,0.0000,300.0,36.00,0.13,00:00:04:56,100.0,4m,17.0,0.00,310.0,37.199999999999996,0.0,0.0,100.0,96.8,-10.00,-1.20
05/27/2026 23:15,05/28/2026 00:59,XAUUSD,Buy,0.240,4453.79000,4456.31000,0.0000,0.0000,252.0,60.31,0.22,00:01:44:06,8.6,8m,1039.0,2.68,358.0,85.92,-960.0,-230.39999999999998,27.2,92.0,-106.00,-25.44
05/27/2026 17:45,05/27/2026 23:47,XAUUSD,Sell,0.120,4450.44000,4447.44000,0.0000,0.0000,300.0,36.00,0.13,00:06:02:11,8.6,31m,1486.0,4.17,303.0,36.36,-1264.0,-151.68,19.3,99.8,-3.00,-0.36
05/27/2026 22:15,05/27/2026 22:24,XAUUSD,Buy,0.210,4458.36000,4461.36000,0.0000,0.0000,300.0,63.00,0.23,00:00:09:14,80.0,7m,186.0,0.20,300.0,63.0,-61.0,-12.809999999999999,83.1,100.0,0.00,0.00
05/26/2026 23:30,05/27/2026 01:46,XAUUSD,Sell,0.120,4511.73000,4508.73000,0.0000,0.0000,300.0,36.00,0.13,00:02:16:15,4.4,5m,1529.0,4.43,345.0,41.4,-1529.0,-183.48,18.4,97.6,-45.00,-5.40
05/26/2026 23:15,05/26/2026 23:30,XAUUSD,Buy,0.240,4509.28000,4511.42000,0.0000,0.0000,214.0,51.44,0.19,00:00:15:39,26.7,4m,456.0,1.49,306.0,73.44,-456.0,-109.44,40.2,87.9,-92.00,-22.08
05/26/2026 23:00,05/26/2026 23:12,XAUUSD,Sell,0.120,4510.92000,4507.92000,0.0000,0.0000,300.0,36.00,0.13,00:00:12:30,46.2,5m,178.0,0.59,300.0,36.0,-178.0,-21.36,62.8,100.0,0.00,0.00
05/26/2026 22:15,05/26/2026 22:20,XAUUSD,Buy,0.230,4504.87000,4507.87000,0.0000,0.0000,300.0,69.00,0.25,00:00:05:36,83.4,4m,42.0,0.14,300.0,69.0,-42.0,-9.66,87.7,100.0,0.00,0.00
05/26/2026 20:00,05/26/2026 20:50,XAUUSD,Sell,0.120,4508.84000,4505.84000,0.0000,0.0000,300.0,36.00,0.13,00:00:50:02,68.7,34m,332.0,0.38,339.0,40.68,-129.0,-15.479999999999999,72.4,91.7,-39.00,-4.68
05/25/2026 23:16,05/25/2026 23:21,XAUUSD,Sell,0.120,4579.01000,4576.01000,0.0000,0.0000,300.0,36.00,0.13,00:00:05:24,80.0,4m,63.0,0.21,300.0,36.0,-63.0,-7.56,82.6,100.0,0.00,0.00
