Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
06/01/2026 13:41,,,Withdrawal,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-10.00,0,00:00:00:00,,,,,,,,,,,,
06/01/2026 13:29,,,Withdrawal,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-10.00,0,00:00:00:00,,,,,,,,,,,,
05/29/2026 15:08,05/29/2026 19:49,XAUUSD,Buy,0.060,4549.06400,4669.06400,4589.12000,4549.06000,-0.6600,0.0000,-4006.0,-241.00,-4.89,00:04:41:24,1.5,4m,4432.0,10.82,375.0,22.5,-4057.0,-243.42,8.5,1.2,-4381.00,-262.86
05/27/2026 10:46,05/28/2026 03:38,XAUUSD,Sell,0.060,4493.20000,4373.20000,4452.44000,4373.20000,-0.6600,0.0000,7924.0,474.78,10.66,00:16:51:58,71.3,12h 1m,5723.0,0.11,7936.0,476.15999999999997,-904.0,-54.239999999999995,89.8,99.9,-12.00,-0.72
05/22/2026 05:36,,,Withdrawal,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-584.00,0,00:00:00:00,,,,,,,,,,,,
05/19/2026 13:31,05/20/2026 14:30,XAUUSD,Sell,0.060,4520.70000,4400.70000,4480.55000,4521.07000,-0.6600,0.0000,-4052.0,-243.74,-4.62,01:00:59:33,26.4,6h 35m,6783.0,1.83,2401.0,144.06,-4382.0,-262.92,35.4,4.9,-6453.00,-387.18
05/15/2026 00:25,05/15/2026 05:59,XAUUSD,Sell,0.060,4678.40000,4558.40000,4638.32000,4558.40000,-0.6600,0.0000,7992.0,478.85,9.97,00:05:34:39,100.0,5h 34m,1547.0,0.00,7992.0,479.52,0.0,0.0,100.0,100.0,0.00,0.00
05/12/2026 15:22,05/12/2026 18:32,XAUUSD,Sell,0.060,4688.20000,4568.20000,4647.41000,4688.20000,-0.6600,0.0000,-4079.0,-245.41,-4.86,00:03:09:16,0.6,1m,4662.0,9.48,445.0,26.7,-4217.0,-253.01999999999998,9.5,3.0,-4524.00,-271.44
05/11/2026 23:52,05/12/2026 01:39,XAUUSD,Buy,0.060,4725.00000,4845.00000,4765.00000,4725.00000,-0.6600,0.0000,-4000.0,-240.66,-4.55,00:01:46:39,18.7,19m,4866.0,5.00,811.0,48.66,-4055.0,-243.29999999999998,16.7,1.1,-4811.00,-288.66
05/11/2026 11:04,,,Deposit,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,57.46,0,00:00:00:00,,,,,,,,,,,,
05/11/2026 11:03,,,Deposit,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,573.34,0,00:00:00:00,,,,,,,,,,,,
05/11/2026 11:02,,,Deposit,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,573.29,0,00:00:00:00,,,,,,,,,,,,
05/09/2026 17:20,,,Deposit,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,839.83,0,00:00:00:00,,,,,,,,,,,,
05/09/2026 12:29,,,Deposit,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,828.33,0,00:00:00:00,,,,,,,,,,,,
05/06/2026 05:56,05/07/2026 06:39,XAUUSD,Buy,0.040,4620.00000,4740.00000,4660.02000,4740.00000,-0.4400,0.0000,7998.0,319.48,15.24,01:00:42:51,99.4,1d ,5123.0,0.02,8264.0,330.56,-180.0,-7.2,97.9,96.8,-266.00,-10.64
05/04/2026 16:07,05/05/2026 05:35,XAUUSD,Sell,0.040,4550.40000,4430.40000,4509.98000,4550.40000,-0.4400,0.0000,-4042.0,-162.12,-7.18,00:13:27:16,1.4,11m,4501.0,8.81,459.0,18.36,-4042.0,-161.68,10.2,0.0,-4501.00,-180.04
05/01/2026 14:12,05/04/2026 00:01,XAUUSD,Buy,0.040,4606.90000,4726.90000,4646.97000,4606.90000,-0.4400,0.0000,-4007.0,-160.72,-6.64,02:09:49:20,0.3,10m,4256.0,16.10,249.0,9.96,-4007.0,-160.28,5.9,0.0,-4256.00,-170.24
04/30/2026 13:23,,,Withdrawal,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-100.00,0,00:00:00:00,,,,,,,,,,,,
04/29/2026 09:50,04/30/2026 07:10,XAUUSD,Sell,0.040,4595.80000,4475.80000,4555.69000,4595.80000,-0.4400,0.0000,-4011.0,-160.88,-6.00,00:21:20:00,55.5,11h 50m,8172.0,0.96,4161.0,166.44,-4011.0,-160.44,50.9,0.0,-8172.00,-326.88
04/28/2026 11:57,,,Withdrawal,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-35.00,0,00:00:00:00,,,,,,,,,,,,
04/21/2026 14:46,04/28/2026 05:06,XAUUSD,Sell,0.040,4775.90000,4655.90000,4735.90000,4652.12000,-0.4400,0.0000,8378.0,334.68,14.06,06:14:19:39,86.3,5d 16h ,9617.0,0.38,8378.0,335.12,-3191.0,-127.64,72.4,100.0,0.00,0.00
04/27/2026 11:06,,,Withdrawal,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-20.00,0,00:00:00:00,,,,,,,,,,,,
04/25/2026 09:08,,,Withdrawal,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-16.00,0,00:00:00:00,,,,,,,,,,,,
04/21/2026 13:57,,,Withdrawal,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-60.00,0,00:00:00:00,,,,,,,,,,,,
04/19/2026 11:55,,,Withdrawal,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-24.00,0,00:00:00:00,,,,,,,,,,,,
04/19/2026 11:47,,,Withdrawal,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-26.00,0,00:00:00:00,,,,,,,,,,,,
04/19/2026 06:56,,,Withdrawal,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-108.00,0,00:00:00:00,,,,,,,,,,,,
04/18/2026 13:18,,,Withdrawal,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-15.00,0,00:00:00:00,,,,,,,,,,,,
04/14/2026 14:02,04/17/2026 13:12,XAUUSD,Buy,0.040,4763.90000,4883.90000,4803.90000,4883.90000,-0.4400,0.0000,8000.0,319.56,13.71,02:23:09:58,57.3,1d 16h ,9521.0,0.44,8000.0,320.0,-3484.0,-139.36,69.7,100.0,0.00,0.00
04/16/2026 03:25,,,Withdrawal,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-15.00,0,00:00:00:00,,,,,,,,,,,,
04/12/2026 22:06,04/12/2026 23:21,XAUUSD,Sell,0.040,4737.40000,4617.40000,4670.51000,4645.56000,-0.4400,0.0000,2495.0,99.36,4.42,00:01:15:35,85.4,1h 4m,1735.0,0.56,2495.0,99.8,-1407.0,-56.28,63.9,100.0,0.00,0.00
04/12/2026 17:28,,,Withdrawal,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-15.00,0,00:00:00:00,,,,,,,,,,,,
04/09/2026 10:55,,,Deposit,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,292.20,0,00:00:00:00,,,,,,,,,,,,
04/07/2026 22:55,04/08/2026 14:25,XAUUSD,Buy,0.040,4762.00000,4882.00000,4802.00000,4762.00000,-0.4400,0.0000,-4000.0,-160.44,-7.54,00:15:30:10,52.2,8h 5m,8369.0,0.92,4369.0,174.76,-4000.0,-160.0,52.2,0.0,-8369.00,-334.76
04/06/2026 09:46,,,Withdrawal,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-15.00,0,00:00:00:00,,,,,,,,,,,,
04/03/2026 06:08,,,Withdrawal,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-15.00,0,00:00:00:00,,,,,,,,,,,,
04/02/2026 01:13,,,Withdrawal,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-60.00,0,00:00:00:00,,,,,,,,,,,,
04/01/2026 06:48,04/02/2026 01:03,XAUUSD,Buy,0.040,4766.00000,4806.00000,4726.00000,4766.00000,-0.4400,0.0000,4000.0,159.56,7.75,00:18:15:00,86.8,15h 50m,5132.0,0.18,7015.0,280.6,-1256.0,-50.24,84.8,63.5,-3015.00,-120.60
03/31/2026 14:02,03/31/2026 23:58,XAUUSD,Buy,0.040,4620.00000,4700.00000,4620.00000,4700.00000,-0.4400,0.0000,8000.0,319.56,18.36,00:09:55:59,76.6,7h 36m,3157.0,0.30,8000.0,320.0,-2397.0,-95.88,76.9,100.0,0.00,0.00
03/31/2026 12:44,,,Withdrawal,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-100.00,0,00:00:00:00,,,,,,,,,,,,
03/31/2026 01:41,03/31/2026 03:20,XAUUSD,Buy,0.040,4563.05000,4683.05000,4603.05000,4563.05000,-0.4400,0.0000,-4000.0,-160.44,-8.02,00:01:39:14,10.0,9m,5285.0,6.16,738.0,29.52,-4547.0,-181.88,14.0,10.4,-4738.00,-189.52
03/29/2026 02:12,,,Withdrawal,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-15.00,0,00:00:00:00,,,,,,,,,,,,
03/25/2026 05:23,,,Withdrawal,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-78.00,0,00:00:00:00,,,,,,,,,,,,
03/24/2026 23:36,03/25/2026 01:47,XAUUSD,Buy,0.040,4513.60000,4593.60000,4513.60000,4593.60000,-0.4400,0.0000,8000.0,319.56,18.01,00:02:11:44,100.0,2h 11m,406.0,0.00,8131.0,325.24,0.0,0.0,100.0,98.4,-131.00,-5.24
03/20/2026 18:50,03/23/2026 00:15,XAUUSD,Sell,0.040,4540.96000,4420.96000,4500.96000,4420.96000,-0.4400,0.0000,8000.0,319.56,21.97,02:05:24:44,96.8,2d 3h ,2750.0,0.29,8000.0,320.0,-2352.0,-94.08,77.3,100.0,0.00,0.00
03/20/2026 12:49,,,Withdrawal,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-100.00,0,00:00:00:00,,,,,,,,,,,,
03/19/2026 11:22,,,Deposit,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,40.59,0,00:00:00:00,,,,,,,,,,,,
