Open Date,Close Date,Symbol,Action,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USC),Min(pips),Min(USC),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USC)
05/04/2026 18:51,05/05/2026 01:01,XAUUSD,Sell,4515.40000,4524.01000,-0.4800,1.6600,-861.0,-67.70,-1.31,00:06:09:30,9.5,35m,2218.0,5.16,360.0,28.8,-1858.0,-148.64000000000001,16.2,45.0,-1221.00,-97.68
05/04/2026 12:58,05/04/2026 22:30,XAUUSD,Sell,4573.24000,4522.91000,-0.4800,0.0000,5033.0,402.16,8.42,00:09:31:49,95.5,9h 6m,2613.0,0.12,6785.0,542.8,-820.0,-65.6,89.2,77.0,-1752.00,-140.16
05/04/2026 19:08,05/04/2026 20:17,XAUUSD,Sell,4508.66000,4527.68000,-0.4800,0.0000,-1902.0,-152.64,-3.10,00:01:09:13,0.0,0s,1902.0,2000.00,0.0,0.0,-1902.0,-152.16,0.0,0.0,-1902.00,-152.16
05/04/2026 19:08,05/04/2026 20:00,XAUUSD,Sell,4508.04000,4512.46000,-0.4800,0.0000,-442.0,-35.84,-0.72,00:00:51:58,0.0,0s,1887.0,2000.00,0.0,0.0,-1887.0,-150.96,0.0,76.6,-442.00,-35.36
05/04/2026 18:51,05/04/2026 19:11,XAUUSD,Sell,4514.79000,4511.92000,-0.4800,0.0000,287.0,22.48,0.45,00:00:20:10,50.0,10m,850.0,1.84,299.0,23.92,-551.0,-44.08,35.2,98.6,-12.00,-0.96
05/04/2026 19:08,05/04/2026 19:11,XAUUSD,Sell,4510.06000,4510.13000,-0.4800,0.0000,-7.0,-1.04,-0.02,00:00:03:24,,,,,,,,,,,,
05/04/2026 18:51,05/04/2026 18:53,XAUUSD,Sell,4515.43000,4530.07000,-0.4800,0.0000,-1464.0,-117.60,-2.32,00:00:02:12,,,,,,,,,,,,
05/04/2026 13:03,05/04/2026 13:18,XAUUSD,Sell,4556.70000,4536.20000,-0.4800,0.0000,2050.0,163.52,3.34,00:00:14:27,6.7,58s,1571.0,0.77,2050.0,164.0,-1571.0,-125.68,56.6,100.0,0.00,0.00
05/01/2026 17:12,05/01/2026 17:25,XAUUSD,Buy,4650.78000,4646.59000,-0.4800,0.0000,-419.0,-34.00,-0.69,00:00:13:29,0.0,0s,1596.0,1666.67,0.0,0.0,-1596.0,-127.68,0.0,73.7,-419.00,-33.52
05/01/2026 17:12,05/01/2026 17:19,XAUUSD,Buy,4649.35000,4649.84000,-0.4800,0.0000,49.0,3.44,0.07,00:00:06:52,14.3,58s,1157.0,23.64,49.0,3.92,-1157.0,-92.56,4.1,100.0,0.00,0.00
05/01/2026 17:12,05/01/2026 17:13,XAUUSD,Buy,4650.59000,4659.70000,-0.4800,0.0000,911.0,72.40,1.49,00:00:01:16,,,,,,,,,,,,
04/30/2026 12:30,04/30/2026 22:30,XAUUSD,Buy,4629.46000,4617.83000,-0.4800,0.0000,-1163.0,-93.52,-1.89,00:09:59:18,12.7,1h 16m,3636.0,1.70,1346.0,107.68,-2290.0,-183.20000000000002,37.0,31.0,-2509.00,-200.72
04/30/2026 12:30,04/30/2026 22:30,XAUUSD,Buy,4629.76000,4617.76000,-0.4800,0.0000,-1200.0,-96.48,-1.91,00:09:59:18,12.2,1h 13m,3636.0,1.76,1316.0,105.28,-2320.0,-185.6,36.2,30.8,-2516.00,-201.28
04/29/2026 12:50,04/29/2026 18:00,XAUUSD,Sell,4557.77000,4539.28000,-0.4800,0.0000,1849.0,147.44,3.01,00:05:09:54,90.4,4h 40m,4806.0,0.10,4369.0,349.52,-437.0,-34.96,90.9,47.6,-2520.00,-201.60
04/29/2026 15:55,04/29/2026 16:05,XAUUSD,Buy,4545.58000,4547.77000,-0.4800,0.0000,219.0,17.04,0.35,00:00:10:00,10.0,1m,0.0,0.00,219.0,17.52,0.0,0.0,100.0,100.0,0.00,0.00
