Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2026.06.01 16:07:30;Buy;0.04;GBPUSDb;1.34551;1.34400;1.34750;2026.06.01 16:12:38;1.34400;-0.20;;-6.04;[sl]
2026.06.01 16:09:19;Buy;0.04;EURUSDb;1.16419;1.16360;1.16520;2026.06.01 16:11:24;1.16358;-0.20;;-2.44;[sl]
2026.06.01 16:07:21;Buy;0.04;EURUSDb;1.16412;;1.16420;2026.06.01 16:08:19;1.16420;-0.20;;0.32;[tp]
2026.05.29 18:28:01;Sell;0.04;GBPUSDb;1.34730;;1.34630;2026.05.29 18:44:15;1.34702;-0.20;;1.12;
2026.05.29 18:16:17;Buy;0.04;GBPUSDb;1.34800;;;2026.05.29 18:16:41;1.34810;-0.20;;0.40;
2026.05.29 18:07:43;Buy;0.04;GBPUSDb;1.34789;;;2026.05.29 18:10:29;1.34813;-0.20;;0.96;
2026.05.29 18:00:17;Sell;0.04;GBPUSDb;1.34789;;1.34580;2026.05.29 18:05:15;1.34769;-0.20;;0.80;
2026.05.29 16:45:40;Sell;0.04;GBPUSDb;1.34457;1.34620;1.34250;2026.05.29 17:51:26;1.34631;-0.20;;-6.96;[sl]
2026.05.29 11:52:05;Buy;0.04;EURUSDb;1.16291;1.15490;1.16400;2026.05.29 12:56:01;1.16401;-0.20;;4.40;[tp]
2026.05.28 15:31:01;Sell;0.04;GBPUSDb;1.34163;1.35370;1.34110;2026.05.29 11:50:47;1.34110;-0.20;-0.21;2.12;[tp]
2026.05.26 16:32:54;Buy;0.04;GBPUSDb;1.34630;1.33430;1.34680;2026.05.28 16:38:19;1.34207;-0.20;-0.62;-16.92;
2026.05.28 10:22:57;Sell;0.04;GBPUSDb;1.34050;;;2026.05.28 11:48:26;1.33974;-0.20;;3.04;
2026.05.27 17:56:20;Buy;0.04;EURUSDb;1.16323;1.15530;1.16220;2026.05.28 10:22:42;1.16151;-0.20;-1.04;-6.88;
2026.05.27 18:01:20;Buy;0.04;GBPJPYb;214.081;212.980;214.290;2026.05.27 18:03:55;214.118;-0.20;;0.93;
2026.05.27 17:59:17;Buy;0.02;GBPUSDb;1.34199;1.33000;1.34400;2026.05.27 18:02:58;1.34224;-0.10;;0.50;
2026.05.27 14:31:52;Buy;0.02;EURUSDb;1.16370;1.15570;1.16470;2026.05.27 15:18:35;1.16476;-0.10;;2.12;[tp]
2026.05.26 16:53:16;Buy;0.04;EURUSDb;1.16235;1.16000;1.16340;2026.05.26 22:24:45;1.16300;-0.20;;2.60;
2026.05.26 09:03:10;Buy;0.02;GBPUSDb;1.34754;1.33550;1.34960;2026.05.26 09:29:53;1.34812;-0.10;;1.16;
2026.05.26 09:01:27;Buy;0.04;EURUSDb;1.16287;1.15480;1.16390;2026.05.26 09:29:48;1.16336;-0.20;;1.96;
2026.05.22 17:21:37;Buy;0.04;GBPUSDb;1.34213;1.33000;1.34420;2026.05.22 18:28:14;1.34420;-0.20;;8.28;[tp]
2026.05.22 10:10:01;Buy;0.02;GBPUSDb;1.34186;1.33800;1.34390;2026.05.22 10:59:23;1.34251;-0.10;;1.30;
2026.05.21 16:40:54;Buy;0.04;GBPUSDb;1.33986;1.32780;1.34200;2026.05.21 16:53:37;1.34075;-0.20;;3.56;
2026.05.21 13:08:01;Sell Limit;0.04;EURUSDb;1.16400;1.17200;1.16300;2026.05.21 13:20:42;1.16217;;;;cancelled
2026.05.21 11:17:54;Sell Limit;0.04;EURUSDb;1.16400;1.17200;1.16300;2026.05.21 12:46:17;1.16265;;;;cancelled
2026.05.21 10:27:46;Buy;0.04;GBPUSDb;1.34179;1.32980;1.34380;2026.05.21 11:06:45;1.34380;-0.20;;8.04;[tp]
2026.05.20 18:12:57;Sell;0.04;EURUSDb;1.16132;1.16490;1.16080;2026.05.21 10:16:33;1.16073;-0.20;0.26;2.36;[tp]
2026.05.18 18:00:51;Sell;0.04;GBPJPYb;212.755;213.970;212.700;2026.05.19 19:14:18;212.671;-0.20;-0.78;2.12;[tp]
2026.05.18 15:34:40;Sell;0.04;GBPUSDb;1.33896;1.34570;1.33840;2026.05.19 16:31:49;1.33879;-0.20;-0.18;0.68;
2026.05.18 19:12:24;Sell;0.04;GBPUSDb;1.34374;;1.34170;2026.05.18 19:32:41;1.34307;-0.20;;2.68;
2026.05.18 18:57:54;Sell;0.04;GBPUSDb;1.34242;1.35440;1.34040;2026.05.18 19:00:59;1.34165;-0.20;;3.08;
2026.05.18 15:34:15;Sell;0.04;EURUSDb;1.16489;1.17290;1.16380;2026.05.18 18:01:53;1.16392;-0.20;;3.88;
2026.05.18 14:42:05;Sell;0.04;EURUSDb;1.16469;;1.16360;2026.05.18 14:42:25;1.16449;-0.20;;0.80;
2026.05.18 14:40:54;Sell;0.04;EURUSDb;1.16442;;;2026.05.18 14:41:00;1.16441;-0.20;;0.04;
2026.05.18 12:35:09;Sell;0.04;EURUSDb;1.16404;;1.16300;2026.05.18 13:57:09;1.16299;-0.20;;4.20;[tp]
2026.05.15 13:54:50;Sell;0.03;GBPUSDb;1.33914;1.35114;1.33710;2026.05.15 13:57:21;1.33822;-0.15;;2.76;
2026.05.15 13:54:36;Sell;0.03;EURUSDb;1.16530;1.17330;1.16430;2026.05.15 13:57:17;1.16521;-0.15;;0.27;
2026.05.15 12:51:26;Balance;;;;;;;;;;0.00;
2026.05.15 12:10:54;Balance;;;;;;;;;;1 000.00;
