Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2026.05.29 10:15:00;Buy Stop;0.01;XAUUSD;5 591.95;;;2026.06.01 01:06:00;4 522.08;;;;cancelled
2026.05.29 09:00:00;Sell Stop;0.01;XAUUSD;4 369.14;;;2026.06.01 01:06:00;4 521.30;;;;cancelled
2026.05.29 07:59:59;Sell Stop;0.01;XAUUSD;4 368.94;;;2026.06.01 01:06:00;4 521.49;;;;cancelled
2026.05.29 03:59:59;Sell Stop;0.01;XAUUSD;4 368.34;;;2026.06.01 01:06:00;4 521.49;;;;cancelled
2026.05.29 01:05:00;Sell Stop;0.01;XAUUSD;4 102.31;;;2026.06.01 01:06:00;4 521.49;;;;cancelled
2026.05.29 18:05:01;Buy;0.01;XAUUSD;4 580.68;;;2026.05.29 20:43:08;4 555.38;;;-25.30;
2026.05.29 18:04:57;Buy;0.01;XAUUSD;4 578.47;;;2026.05.29 18:11:14;4 593.66;;;15.19;
2026.05.29 18:04:57;Buy;0.01;XAUUSD;4 578.47;;;2026.05.29 18:11:14;4 593.32;;;14.85;
2026.05.29 18:05:02;Buy;0.01;XAUUSD;4 580.71;;;2026.05.29 18:06:00;4 574.33;;;-6.38;
2026.05.28 21:04:59;Buy Stop;0.01;XAUUSD;4 577.86;;;2026.05.29 17:05:00;4 548.58;;;;cancelled
2026.05.27 03:00:00;Buy Stop;0.01;XAUUSD;4 579.84;;;2026.05.29 14:59:59;4 538.86;;;;cancelled
2026.05.27 23:15:00;Buy Stop;0.01;XAUUSD;5 591.80;;;2026.05.29 10:15:00;4 516.54;;;;cancelled
2026.05.28 04:00:00;Buy Stop;0.01;XAUUSD;4 577.94;;;2026.05.29 09:59:59;4 523.49;;;;cancelled
2026.05.27 14:00:00;Sell Stop;0.01;XAUUSD;4 102.40;;;2026.05.29 01:05:00;4 497.39;;;;cancelled
2026.05.20 21:46:22;Buy Stop;0.01;XAUUSD;4 772.11;;;2026.05.28 21:59:59;4 501.51;;;;cancelled
2026.05.28 01:05:00;Buy Stop;0.01;XAUUSD;4 577.86;;;2026.05.28 21:05:00;4 513.17;;;;cancelled
2026.05.26 22:00:00;Buy Stop;0.01;XAUUSD;4 577.92;;;2026.05.28 04:00:00;4 458.48;;;;cancelled
2026.05.27 04:00:00;Buy Stop;0.01;XAUUSD;4 577.83;;;2026.05.28 01:05:00;4 456.92;;;;cancelled
2026.05.26 12:15:00;Buy Stop;0.01;XAUUSD;5 591.82;;;2026.05.27 23:15:00;4 455.61;;;;cancelled
2026.05.26 21:05:00;Buy Stop;0.01;XAUUSD;4 586.94;;;2026.05.27 17:05:00;4 439.05;;;;cancelled
2026.05.27 13:46:15;Sell;0.01;XAUUSD;4 456.00;;;2026.05.27 15:21:25;4 454.85;;;1.15;
2026.05.27 13:46:17;Sell;0.03;XAUUSD;4 454.04;;;2026.05.27 15:19:15;4 452.46;;;4.74;
2026.05.27 13:46:15;Sell;0.01;XAUUSD;4 456.00;;;2026.05.27 15:19:11;4 450.89;;;5.11;
2026.05.27 13:46:15;Sell;0.03;XAUUSD;4 456.00;;;2026.05.27 15:18:18;4 438.44;;;52.68;
2026.05.27 13:46:15;Sell;0.01;XAUUSD;4 456.00;;;2026.05.27 14:42:23;4 443.36;;;12.64;
2026.05.27 13:46:15;Sell;0.01;XAUUSD;4 456.00;;;2026.05.27 14:23:16;4 441.15;;;14.85;
2026.05.25 02:15:01;Buy Stop;0.01;XAUUSD;4 588.95;;;2026.05.27 14:15:00;4 451.43;;;;cancelled
2026.05.27 13:46:17;Sell;0.01;XAUUSD;4 454.04;;;2026.05.27 14:03:33;4 453.50;;;0.54;
2026.05.25 01:06:01;Sell Stop;0.01;XAUUSD;4 456.06;;;2026.05.27 13:15:00;4 485.38;;;;cancelled
2026.05.26 01:05:00;Sell Stop;0.01;XAUUSD;4 457.17;;;2026.05.27 12:15:00;4 491.65;;;;cancelled
2026.05.26 20:58:40;Sell;0.01;XAUUSD;4 490.81;;;2026.05.26 21:10:54;4 490.69;;;0.12;
2026.05.26 20:58:40;Sell;0.01;XAUUSD;4 490.99;;;2026.05.26 21:10:08;4 489.55;;;1.44;
2026.05.26 20:59:04;Sell;0.01;XAUUSD;4 490.30;;;2026.05.26 21:09:29;4 489.02;;;1.28;
2026.05.26 01:05:00;Buy Stop;0.01;XAUUSD;4 586.94;;;2026.05.26 21:05:00;4 488.15;;;;cancelled
2026.05.25 14:00:00;Sell Stop;0.01;XAUUSD;4 490.37;;;2026.05.26 20:00:00;4 504.82;;;;cancelled
2026.05.25 19:00:00;Sell Stop;0.01;XAUUSD;4 491.20;;;2026.05.26 15:00:00;4 505.75;;;;cancelled
2026.05.25 01:06:00;Sell Stop;0.01;XAUUSD;4 102.38;;;2026.05.26 12:15:00;4 519.80;;;;cancelled
2026.05.25 01:06:00;Buy Stop;0.01;XAUUSD;5 591.83;;;2026.05.26 12:15:00;4 520.19;;;;cancelled
2026.05.25 02:15:00;Buy Stop;0.01;XAUUSD;4 587.02;;;2026.05.26 08:15:00;4 529.54;;;;cancelled
2026.05.25 01:06:00;Sell Stop;0.01;XAUUSD;4 455.45;;;2026.05.26 07:15:00;4 537.26;;;;cancelled
2026.05.26 02:10:28;Buy;0.01;XAUUSD;4 577.72;;;2026.05.26 03:21:24;4 546.31;;;-31.41;
2026.05.25 02:10:00;Buy Stop;0.01;XAUUSD;4 586.94;;;2026.05.26 01:05:00;4 571.64;;;;cancelled
2026.05.20 21:46:22;Sell Stop;0.03;XAUUSD;4 100.34;;;2026.05.26 01:05:00;4 570.74;;;;cancelled
2026.05.25 01:06:00;Sell Stop;0.01;XAUUSD;4 456.28;;;2026.05.25 21:10:00;4 570.43;;;;cancelled
2026.05.25 02:05:05;Buy;0.01;XAUUSD;4 568.58;;;2026.05.25 02:58:33;4 567.54;;;-1.04;
2026.05.25 02:07:11;Buy;0.01;XAUUSD;4 570.88;;;2026.05.25 02:56:48;4 572.35;;;1.47;
2026.05.25 02:02:28;Buy;0.01;XAUUSD;4 568.55;;;2026.05.25 02:03:01;4 567.56;;;-0.99;
2026.05.25 02:00:14;Buy;0.01;XAUUSD;4 568.45;;;2026.05.25 02:03:01;4 567.58;;;-0.87;
2026.05.22 09:00:27;Sell Stop;0.01;XAUUSD;4 455.45;;;2026.05.25 01:06:01;4 553.22;;;;cancelled
2026.05.22 09:00:26;Sell Stop;0.01;XAUUSD;4 102.38;;;2026.05.25 01:06:01;4 553.38;;;;cancelled
2026.05.22 09:00:26;Buy Stop;0.01;XAUUSD;5 591.83;;;2026.05.25 01:06:01;4 554.01;;;;cancelled
2026.05.22 06:00:04;Buy Stop;0.01;XAUUSD;4 568.42;;;2026.05.25 01:06:01;4 554.01;;;;cancelled
2026.05.22 05:00:01;Buy Stop;0.01;XAUUSD;4 570.43;;;2026.05.25 01:06:01;4 554.01;;;;cancelled
2026.05.22 04:00:19;Sell Stop;0.01;XAUUSD;4 456.28;;;2026.05.25 01:06:01;4 553.40;;;;cancelled
2026.05.22 01:05:01;Buy Stop;0.01;XAUUSD;4 568.50;;;2026.05.25 01:06:01;4 554.02;;;;cancelled
2026.05.21 07:00:02;Sell Stop;0.01;XAUUSD;4 456.03;;;2026.05.25 01:06:00;4 552.55;;;;cancelled
2026.05.20 21:46:23;Buy Stop;0.01;XAUUSD;4 588.94;;;2026.05.25 01:06:00;4 553.43;;;;cancelled
2026.05.21 17:50:04;Buy Stop;0.01;XAUUSD;4 586.97;;;2026.05.22 13:50:00;4 513.15;;;;cancelled
2026.05.21 03:00:03;Sell Stop;0.01;XAUUSD;4 455.43;;;2026.05.22 09:00:27;4 514.57;;;;cancelled
2026.05.20 21:46:22;Sell Stop;0.01;XAUUSD;4 102.40;;;2026.05.22 09:00:27;4 514.51;;;;cancelled
2026.05.20 21:46:22;Buy Stop;0.01;XAUUSD;5 591.80;;;2026.05.22 09:00:27;4 514.82;;;;cancelled
2026.05.21 08:00:00;Sell Stop;0.01;XAUUSD;4 456.24;;;2026.05.22 04:00:20;4 529.78;;;;cancelled
2026.05.20 21:46:22;Buy Stop;0.01;XAUUSD;4 587.01;;;2026.05.22 04:00:20;4 530.22;;;;cancelled
2026.05.20 21:46:22;Buy Stop;0.01;XAUUSD;4 586.93;;;2026.05.21 17:50:04;4 504.07;;;;cancelled
2026.05.20 18:46:31;Buy;0.36;XAUUSD;4 537.51;;;2026.05.20 21:43:24;4 539.33;;;65.52;
2026.05.19 01:05:01;Buy Stop;0.03;XAUUSD;4 887.19;;;2026.05.20 19:28:46;4 524.93;;;;cancelled
2026.05.19 01:05:01;Buy Stop;0.01;XAUUSD;4 772.11;;;2026.05.20 19:28:46;4 524.93;;;;cancelled
2026.05.20 12:15:00;Sell Stop;0.01;XAUUSD;4 102.40;;;2026.05.20 19:28:45;4 524.42;;;;cancelled
2026.05.20 12:15:00;Buy Stop;0.01;XAUUSD;5 591.80;;;2026.05.20 19:28:45;4 524.87;;;;cancelled
2026.05.20 05:00:00;Buy Stop;0.01;XAUUSD;4 586.93;;;2026.05.20 19:28:45;4 524.87;;;;cancelled
2026.05.20 04:00:05;Buy Stop;0.01;XAUUSD;4 588.94;;;2026.05.20 19:28:45;4 524.89;;;;cancelled
2026.05.19 22:59:59;Buy Stop;0.01;XAUUSD;4 587.02;;;2026.05.20 19:28:45;4 524.89;;;;cancelled
2026.05.19 01:05:01;Buy Stop;0.01;XAUUSD;4 718.41;;;2026.05.20 19:28:45;4 524.90;;;;cancelled
2026.05.19 01:05:01;Buy Stop;0.03;XAUUSD;4 770.30;;;2026.05.20 19:28:45;4 524.93;;;;cancelled
2026.05.19 01:05:01;Sell Stop;0.03;XAUUSD;4 100.33;;;2026.05.20 19:28:45;4 524.49;;;;cancelled
2026.05.19 21:10:00;Buy Stop;0.01;XAUUSD;4 716.40;;;2026.05.20 17:10:00;4 476.36;;;;cancelled
2026.05.19 01:05:01;Sell Stop;0.01;XAUUSD;4 102.38;;;2026.05.20 12:15:00;4 479.86;;;;cancelled
2026.05.19 01:05:00;Buy Stop;0.01;XAUUSD;5 591.83;;;2026.05.20 12:15:00;4 480.24;;;;cancelled
2026.05.19 01:05:01;Buy Stop;0.01;XAUUSD;4 716.40;;;2026.05.19 21:10:00;4 503.45;;;;cancelled
2026.05.19 16:31:21;Sell;0.01;XAUUSD;4 480.45;;;2026.05.19 16:55:11;4 508.45;;;-28.00;
2026.05.19 16:31:21;Sell;0.01;XAUUSD;4 480.45;;;2026.05.19 16:32:55;4 480.91;;;-0.46;
2026.05.19 16:31:22;Sell;0.01;XAUUSD;4 479.37;;;2026.05.19 16:31:46;4 466.64;;;12.73;
2026.05.19 16:31:22;Sell;0.01;XAUUSD;4 479.37;;;2026.05.19 16:31:43;4 467.86;;;11.51;
2026.05.18 22:05:16;Buy;0.80;XAUUSD;4 556.76;;;2026.05.18 23:47:39;4 564.05;;;583.20;
2026.05.18 21:33:15;Sell;0.40;XAUUSD;4 542.47;;;2026.05.18 22:01:46;4 551.29;;;-352.80;
2026.05.18 21:27:00;Sell;0.40;XAUUSD;4 538.00;;;2026.05.18 22:01:46;4 553.27;;;-610.80;
