Time;Type;Volume;Symbol;Price;S/L;T/P;Time;Price;Commission;Swap;Profit;Comment
2026.05.18 00:01:56;Sell;0.02;NZDUSD;0.58302;0.59133;0.57139;2026.05.28 17:12:59;0.59135;-0.14;0.04;-16.66;[sl]
2026.05.28 08:00:00;Sell;0.02;GBPUSD;1.33778;1.34017;1.32120;2026.05.28 09:23:20;1.34018;-0.14;;-4.80;[sl]
2026.04.30 16:00:00;Sell;0.01;USDJPY;156.835;159.595;153.283;2026.05.28 03:49:08;159.595;-0.07;-2.89;-17.29;[sl]
2026.05.25 04:00:00;Buy;0.04;GBPUSD;1.34792;1.34631;1.36362;2026.05.26 16:32:27;1.34629;-0.28;-0.14;-6.52;[sl]
2026.05.14 20:00:00;Sell;0.01;GBPUSD;1.34432;1.34981;1.32488;2026.05.25 14:33:20;1.34992;-0.07;-0.36;-5.60;[sl]
2026.05.21 05:00:00;Sell;0.03;AUDJPY;113.122;113.519;111.438;2026.05.21 14:22:05;113.519;-0.21;;-7.49;[sl]
2026.05.19 09:00:00;Buy;0.05;GBPJPY;213.396;212.965;214.114;2026.05.19 15:41:27;212.951;-0.35;;-14.02;[sl]
2026.05.11 04:00:00;Buy;0.03;USDJPY;156.939;156.455;158.573;2026.05.15 05:01:00;158.573;-0.21;1.14;30.91;[tp]
2026.05.12 09:00:00;Sell;0.03;GBPJPY;213.534;214.277;212.495;2026.05.14 19:46:09;212.495;-0.21;-1.69;19.71;[tp]
2026.05.06 08:00:00;Sell;0.01;USDJPY;155.936;157.892;153.157;2026.05.13 12:36:21;157.892;-0.07;-0.71;-12.39;[sl]
2026.05.11 08:00:00;Sell;0.05;GBPJPY;213.392;213.752;212.688;2026.05.11 11:21:38;213.755;-0.35;;-11.56;[sl]
2026.05.05 16:00:00;Buy;0.02;USDJPY;157.778;157.131;159.267;2026.05.06 07:27:50;157.122;-0.14;0.14;-8.35;[sl]
2026.04.30 16:00:00;Sell;0.01;AUDJPY;112.127;113.920;107.308;2026.05.06 04:19:16;113.924;-0.07;-0.32;-11.40;[sl]
2026.05.01 10:00:00;Sell;0.01;GBPJPY;212.278;214.021;210.278;2026.05.05 18:43:47;214.021;-0.07;-0.30;-11.05;[sl]
2026.05.04 07:00:00;Sell;0.03;AUDJPY;112.679;113.103;110.297;2026.05.05 14:29:43;113.105;-0.21;-0.25;-8.10;[sl]
2026.04.30 20:00:00;Buy;0.01;GBPUSD;1.35783;1.35217;1.37734;2026.05.04 19:07:54;1.35213;-0.07;-0.08;-5.70;[sl]
2026.05.04 13:15:00;Sell;0.01;XAUUSD;4 542.24;4 575.63;4 508.32;2026.05.04 15:20:25;4 575.76;-0.07;;-33.52;[sl]
2026.05.01 10:00:00;Sell;0.02;AUDJPY;112.221;112.848;109.127;2026.05.01 16:09:47;112.851;-0.14;;-8.05;[sl]
2026.04.28 10:30:00;Buy;0.06;GBPJPY;215.358;214.984;216.066;2026.04.29 16:04:23;216.066;-0.42;0.57;26.55;[tp]
2026.04.23 03:15:00;Sell;0.01;XAUUSD;4 699.20;4 728.21;4 670.65;2026.04.23 03:20:47;4 728.21;-0.07;;-29.01;[sl]
2026.04.21 16:36:13;Buy;0.06;EURUSD;1.17682;1.17290;1.19735;2026.04.21 20:11:26;1.17289;-0.42;;-23.58;[sl]
2026.01.20 00:05:02;Buy;0.01;EURJPY;184.163;179.232;187.311;2026.04.13 21:50:20;187.311;-0.07;2.47;19.76;[tp]
2026.02.04 00:01:36;Buy;0.01;EURJPY;184.128;179.105;186.955;2026.04.13 17:36:57;186.955;-0.07;2.02;17.72;[tp]
2026.04.07 09:30:00;Buy;0.07;GBPJPY;211.549;211.233;212.257;2026.04.07 23:51:00;212.258;-0.49;;31.09;[tp]
2026.04.06 04:00:00;Buy;0.05;USDJPY;159.739;159.415;160.627;2026.04.06 10:55:51;159.413;-0.35;;-10.23;[sl]
2026.03.30 10:30:00;Sell;0.03;GBPJPY;211.498;212.183;210.443;2026.03.30 16:40:42;210.443;-0.21;;19.85;[tp]
2026.03.20 10:30:00;Buy;0.05;GBPJPY;212.565;212.110;213.365;2026.03.20 17:13:06;212.110;-0.35;;-14.30;[sl]
2026.03.19 10:30:00;Sell;0.04;GBPJPY;211.460;212.035;210.535;2026.03.19 22:06:47;212.041;-0.28;;-14.75;[sl]
2026.03.12 20:00:00;Sell;0.03;NZDUSD;0.58589;0.58852;0.57469;2026.03.19 22:06:26;0.58855;-0.21;0.07;-7.98;[sl]
2026.03.19 03:00:01;Sell;0.01;GBPUSD;1.32645;1.33327;1.30552;2026.03.19 16:53:16;1.33329;-0.07;;-6.84;[sl]
2026.03.18 16:00:00;Sell;0.03;NZDUSD;0.58229;0.58520;0.57091;2026.03.18 20:59:59;0.58540;-0.21;;-9.33;[sl]
2026.03.13 12:00:00;Sell;0.01;GBPUSD;1.32614;1.33162;1.30600;2026.03.16 18:40:26;1.33163;-0.07;-0.04;-5.49;[sl]
2026.02.25 12:00:00;Buy;0.01;USDJPY;156.561;155.528;158.554;2026.03.09 03:42:36;158.553;-0.07;0.74;12.56;[tp]
2026.03.05 15:30:00;Sell;0.01;XAUUSD;5 121.90;5 159.81;5 087.71;2026.03.05 17:07:49;5 087.33;-0.07;;34.57;[tp]
2026.02.24 09:30:00;Buy;0.02;GBPJPY;210.185;208.777;211.892;2026.02.25 14:47:37;211.892;-0.14;0.17;21.78;[tp]
2026.02.24 20:00:00;Buy;0.03;GBPUSD;1.35184;1.34960;1.36808;2026.02.24 23:05:09;1.34959;-0.21;;-6.75;[sl]
2026.02.24 10:00:00;Buy;0.02;AUDJPY;110.336;109.722;113.059;2026.02.24 14:43:19;109.719;-0.14;;-7.92;[sl]
2026.02.12 18:15:00;Sell;0.01;XAUUSD;4 949.52;5 068.15;4 842.05;2026.02.20 18:33:14;5 068.27;-0.07;4.34;-118.75;[sl]
2026.02.17 16:00:00;Sell;0.01;XAUUSD;4 870.32;4 924.36;4 819.53;2026.02.18 06:07:07;4 924.46;-0.07;0.54;-54.14;[sl]
2026.02.06 08:00:00;Buy;0.06;GBPJPY;212.719;212.230;213.539;2026.02.06 14:37:42;213.537;-0.42;;31.23;[tp]
2026.02.04 10:30:00;Buy;0.06;GBPJPY;214.802;214.318;215.599;2026.02.04 16:06:39;214.318;-0.42;;-18.56;[sl]
2026.01.29 18:00:00;Sell;0.01;AUDJPY;106.623;107.725;102.169;2026.01.29 21:18:24;107.732;-0.07;;-7.24;[sl]
2026.01.27 22:15:00;Buy;0.01;XAUUSD;5 141.85;5 098.17;5 184.70;2026.01.27 23:00:09;5 186.62;-0.07;;44.77;[tp]
2026.01.23 20:00:02;Buy;0.08;AUDUSD;0.68825;0.68731;0.69891;2026.01.27 22:46:33;0.69891;-0.56;-0.55;85.28;[tp]
2026.01.22 20:00:02;Buy;0.01;GBPUSD;1.34923;1.34401;1.36921;2026.01.26 17:00:03;1.36928;-0.07;-0.07;20.05;[tp]
2025.12.22 00:01:19;Buy;0.01;AUDJPY;104.477;101.698;108.038;2026.01.22 08:55:56;108.041;-0.07;1.52;22.45;[tp]
2025.12.19 12:00:00;Buy;0.01;AUDJPY;103.896;102.991;106.467;2026.01.13 04:39:50;106.470;-0.07;1.07;16.23;[tp]
2026.01.05 20:00:00;Buy;0.02;NZDUSD;0.57867;0.57642;0.58700;2026.01.08 04:19:00;0.57642;-0.14;-0.43;-4.50;[sl]
2026.01.05 20:00:00;Buy;0.01;GBPUSD;1.35326;1.34682;1.37421;2026.01.07 18:54:35;1.34681;-0.07;-0.06;-6.45;[sl]
2025.12.22 04:00:00;Buy;0.06;GBPUSD;1.33970;1.33885;1.35457;2026.01.05 21:39:56;1.35457;-0.42;-3.05;89.22;[tp]
2025.12.26 04:00:00;Buy;0.01;AUDJPY;104.867;104.356;106.439;2025.12.29 18:41:52;104.354;-0.07;0.06;-3.29;[sl]
2025.12.29 02:30:00;Sell;0.01;XAUUSD;4 487.54;4 524.10;4 449.78;2025.12.29 09:03:31;4 446.59;-0.07;;40.95;[tp]
2025.12.23 10:00:00;Buy;0.03;GBPJPY;210.672;210.203;211.436;2025.12.24 16:53:22;210.200;-0.21;0.27;-9.09;[sl]
2025.12.19 12:00:00;Buy;0.01;USDJPY;157.222;155.849;159.227;2025.12.23 11:03:41;155.846;-0.07;0.14;-8.83;[sl]
2025.12.22 09:30:00;Buy;0.03;GBPJPY;211.042;210.562;211.864;2025.12.23 06:01:40;210.559;-0.21;0.27;-9.28;[sl]
2025.12.18 16:00:00;Buy;0.01;GBPUSD;1.34268;1.33587;1.36370;2025.12.19 15:20:15;1.33588;-0.07;-0.03;-6.80;[sl]
2025.12.09 00:03:00;Buy;0.01;EURJPY;181.476;177.766;183.764;2025.12.19 10:55:18;183.770;-0.07;0.47;14.62;[tp]
2025.12.03 00:06:29;Buy;0.01;EURJPY;181.298;177.452;183.525;2025.12.19 10:00:27;183.525;-0.07;0.70;14.21;[tp]
2025.12.17 08:00:00;Buy;0.02;USDJPY;155.152;154.676;156.418;2025.12.19 08:40:55;156.440;-0.14;0.54;16.47;[tp]
2025.12.18 16:00:00;Buy;0.04;NZDUSD;0.57788;0.57694;0.58479;2025.12.18 17:47:59;0.57693;-0.28;;-3.80;[sl]
