Open Date,Close Date,Symbol,Action,Units/Lots,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USC),Min(pips),Min(USC),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USC)
04/16/2026 01:05,04/17/2026 14:10,XAUUSD,Buy,2.000,4829.60900,4870.68500,0.0000,0.0000,4107.6,8215.20,2.47,01:13:04:54,6.8,2h 31m,6684.0,1.12,5422.1,10844.2,-6054.9,-12109.8,47.2,88.5,-1314.50,-2629.00
04/12/2026 22:23,04/13/2026 01:10,XAUUSD,Buy,2.000,4662.00000,4710.35100,0.0000,0.0000,4835.1,9670.20,2.99,00:02:46:31,49.2,1h 21m,1598.0,0.29,5508.0,11016.0,-1598.0,-3196.0,77.5,90.5,-672.90,-1345.80
04/10/2026 09:19,04/10/2026 11:14,XAUUSD,Buy,2.000,4754.99600,4755.23100,0.0000,0.0000,23.5,47.00,0.01,00:01:55:25,41.8,48m,1260.0,2.07,538.4,1076.8,-1113.6,-2227.2,32.6,68.8,-514.90,-1029.80
04/07/2026 09:03,04/08/2026 10:54,XAUUSD,Buy,2.000,4685.94200,4791.90500,0.0000,0.0000,10596.3,21192.60,7.01,01:01:51:10,61.7,15h 57m,8186.0,0.46,15974.8,31949.6,-7388.2,-14776.4,68.4,77.0,-5378.50,-10757.00
04/01/2026 08:34,04/07/2026 22:33,AUDCAD,Buy,25.000,0.96516,0.97147,0.0000,0.0000,63.1,11363.88,3.91,06:13:59:54,7.6,12h 0m,108.3,0.97,101.0,18189.09,-98.3,-17702.847,50.7,81.0,-37.90,-6825.41
04/07/2026 05:28,04/07/2026 07:49,XAUUSD,Buy,2.000,4636.00000,4643.55500,0.0000,0.0000,755.5,1511.00,0.52,00:02:21:41,92.9,2h 11m,1432.0,0.26,1801.0,3602.0,-470.0,-940.0,79.3,54.0,-1045.50,-2091.00
04/02/2026 14:16,04/06/2026 13:45,XAUUSD,Buy,2.000,4661.07800,4667.40200,0.0000,0.0000,632.4,1264.80,0.44,03:23:28:47,89.1,3d 13h ,9042.0,1.34,4286.2,8572.4,-5761.8,-11523.6,42.7,63.6,-3653.80,-7307.60
03/30/2026 14:29,04/02/2026 14:37,BTCUSD,Sell,10.000,67246.70000,66967.63000,0.0000,0.0000,279.1,2790.70,0.96,03:00:08:13,40.5,1d 5h ,3076.0,1.37,1401.7,14017.0,-1916.3,-19163.0,42.2,66.2,-1122.60,-11226.00
04/01/2026 11:37,04/01/2026 13:16,XAUUSD,Buy,2.000,4748.48000,4735.46600,0.0000,0.0000,-1301.4,-2602.80,-0.91,00:01:39:07,15.0,14m,3888.0,2.47,1120.0,2240.0,-2768.0,-5536.0,28.8,37.7,-2421.40,-4842.80
03/25/2026 18:40,04/01/2026 08:00,USDJPY,Sell,10.000,159.32500,158.80200,0.0000,0.0000,52.3,3293.41,1.15,06:13:19:21,12.6,19h 49m,113.3,1.10,101.6,6397.7519999999995,-112.0,-7052.639999999999,47.6,76.9,-49.30,-3104.42
