Open Date,Close Date,Symbol,Action,Units/Lots,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
05/28/2026 21:00,05/29/2026 14:00,XAUUSD,Buy,0.190,4509.17000,4538.36000,-1.1400,-13.2400,2919.0,540.23,5.32,00:17:00:00,39.8,6h 45m,2210.0,0.60,3229.0,613.51,-1936.0,-367.84000000000003,62.5,94.0,-310.00,-58.90
05/28/2026 20:00,05/29/2026 14:00,XAUUSD,Buy,0.190,4511.23000,4538.35000,-1.1400,-13.2400,2712.0,500.90,5.19,00:18:00:00,32.5,5h 51m,2342.0,0.71,3023.0,574.37,-2142.0,-406.98,58.5,94.0,-311.00,-59.09
05/25/2026 02:00,05/25/2026 03:00,XAUUSD,Buy,0.190,4565.15000,4567.10000,-1.1400,0.0000,195.0,35.91,0.37,00:01:00:00,100.0,1h 0m,1175.0,0.00,1361.0,258.59,0.0,0.0,100.0,14.3,-1166.00,-221.54
05/20/2026 23:00,05/21/2026 08:30,XAUUSD,Buy,0.200,4545.84000,4520.28000,-1.2000,-44.9300,-2556.0,-557.33,-5.48,00:09:30:18,19.1,1h 48m,4939.0,1.07,2383.0,476.6,-2556.0,-511.20000000000005,48.2,0.0,-4939.00,-987.80
05/12/2026 03:00,05/12/2026 04:25,XAUUSD,Buy,0.210,4767.46000,4741.71000,-1.2600,0.0000,-2575.0,-542.01,-5.06,00:01:25:56,11.2,9m,3608.0,8.97,362.0,76.02,-3246.0,-681.66,10.0,18.6,-2937.00,-616.77
05/10/2026 17:32,,,Withdrawal,0.000,0.00000,0.00000,0.0000,0.0000,0.0,-3000.00,0,00:00:00:00,,,,,,,,,,,,
05/07/2026 18:00,05/07/2026 18:26,XAUUSD,Buy,0.290,4763.12000,4737.32000,-1.7400,0.0000,-2580.0,-749.94,-5.19,00:00:26:48,0.0,0s,2580.0,3333.33,0.0,0.0,-2580.0,-748.1999999999999,0.0,0.0,-2580.00,-748.20
05/07/2026 16:00,05/07/2026 16:36,XAUUSD,Buy,0.290,4750.40000,4751.11000,-1.7400,0.0000,71.0,18.85,0.13,00:00:36:21,16.3,5m,1871.0,2.90,645.0,187.04999999999998,-1871.0,-542.5899999999999,25.6,77.2,-574.00,-166.46
05/07/2026 11:00,05/07/2026 12:00,XAUUSD,Buy,0.300,4742.93000,4731.26000,-1.8000,0.0000,-1167.0,-351.90,-2.38,00:01:00:00,21.7,13m,2209.0,1.15,1029.0,308.7,-1180.0,-354.0,46.6,0.6,-2196.00,-658.80
05/06/2026 10:00,05/07/2026 10:00,XAUUSD,Buy,0.190,4669.76000,4739.87000,-1.1400,-41.3400,7011.0,1289.61,9.55,01:00:00:29,97.6,23h 25m,5123.0,0.15,7653.0,1454.07,-1110.0,-210.9,87.3,92.7,-642.00,-121.98
05/06/2026 11:00,05/07/2026 10:00,XAUUSD,Buy,0.190,4681.54000,4739.19000,-1.1400,-41.3400,5765.0,1052.87,8.46,00:23:00:00,92.8,21h 20m,5123.0,0.17,6475.0,1230.25,-1104.0,-209.76,85.4,90.6,-710.00,-134.90
05/06/2026 09:00,05/07/2026 10:00,XAUUSD,Buy,0.190,4663.07000,4739.06000,-1.1400,-41.3400,7599.0,1401.33,12.69,01:01:00:00,98.4,1d ,5123.0,0.06,8322.0,1581.18,-485.0,-92.15,94.5,91.8,-723.00,-137.37
05/06/2026 08:00,05/07/2026 10:00,XAUUSD,Buy,0.190,4649.10000,4738.38000,-1.1400,-41.3400,8928.0,1653.84,17.61,01:02:00:00,99.4,1d 1h ,5123.0,0.03,9719.0,1846.6100000000001,-246.0,-46.74,97.5,92.1,-791.00,-150.29
05/06/2026 03:00,05/06/2026 04:00,XAUUSD,Buy,0.180,4594.09000,4618.94000,-1.0800,0.0000,2485.0,446.22,4.98,00:01:00:00,80.0,48m,794.0,0.19,2485.0,447.3,-478.0,-86.03999999999999,83.9,100.0,0.00,0.00
04/30/2026 15:00,05/01/2026 08:56,XAUUSD,Buy,0.200,4630.29000,4604.92000,-1.2000,-14.2400,-2537.0,-522.84,-5.52,00:17:56:27,14.9,2h 40m,3628.0,2.33,1091.0,218.20000000000002,-2537.0,-507.40000000000003,30.1,0.0,-3628.00,-725.60
04/30/2026 16:00,04/30/2026 16:47,XAUUSD,Buy,0.200,4640.20000,4613.48000,-1.2000,0.0000,-2672.0,-535.60,-5.35,00:00:47:32,8.4,3m,2944.0,9.83,272.0,54.400000000000006,-2672.0,-534.4,9.2,0.0,-2944.00,-588.80
04/24/2026 06:27,,,Withdrawal,0.000,0.00000,0.00000,0.0000,0.0000,0.0,-500.00,0,00:00:00:00,,,,,,,,,,,,
04/17/2026 19:00,04/17/2026 23:36,XAUUSD,Buy,0.220,4867.93000,4841.89000,-1.3200,0.0000,-2604.0,-574.20,-5.18,00:04:36:26,15.9,43m,1836.0,2.69,497.0,109.34,-1339.0,-294.58,27.1,68.9,-3101.00,-682.22
04/14/2026 23:00,04/15/2026 06:02,XAUUSD,Buy,0.230,4845.20000,4819.36000,-1.3800,-17.7700,-2584.0,-613.47,-5.24,00:07:02:25,14.9,1h 2m,5072.0,1.04,2488.0,572.24,-2584.0,-594.32,49.1,0.0,-5072.00,-1166.56
04/08/2026 05:00,04/08/2026 12:43,XAUUSD,Buy,0.250,4810.43000,4784.98000,-1.5000,0.0000,-2545.0,-637.75,-5.17,00:07:43:18,43.1,3h 19m,5497.0,1.09,2629.0,657.25,-2868.0,-717.0,47.8,5.9,-5174.00,-1293.50
03/31/2026 23:00,04/01/2026 17:58,XAUUSD,Buy,0.210,4683.14000,4759.93000,-1.2600,-15.5700,7679.0,1595.76,14.86,00:18:58:06,74.2,14h 4m,5254.0,0.21,8453.0,1775.1299999999999,-1755.0,-368.55,82.8,92.4,-774.00,-162.54
03/31/2026 21:00,03/31/2026 22:00,XAUUSD,Buy,0.210,4654.64000,4667.81000,-1.2600,0.0000,1317.0,275.31,2.63,00:01:00:00,98.4,59m,623.0,0.01,1614.0,338.94,-20.0,-4.2,98.8,81.8,-297.00,-62.37
