Open Date,Close Date,Symbol,Action,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(GBP),Min(pips),Min(GBP),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(GBP)
06/04/2026 16:09,06/04/2026 16:20,XAUUSD,Buy,4504.29000,4508.27000,0.0000,0.0000,398.0,147.90,0.27,00:00:11:13,9.1,1m,2503.0,6.29,398.0,147.26,-2503.0,-926.11,13.7,100.0,0.00,0.00
06/04/2026 16:09,06/04/2026 16:20,XAUUSD,Buy,4504.30000,4508.27000,0.0000,0.0000,397.0,147.53,0.27,00:00:11:14,9.1,1m,2504.0,6.31,397.0,146.89,-2504.0,-926.48,13.7,100.0,0.00,0.00
06/04/2026 16:09,06/04/2026 16:20,XAUUSD,Buy,4504.41000,4508.27000,0.0000,0.0000,386.0,143.45,0.26,00:00:11:14,9.1,1m,2515.0,6.52,386.0,142.82,-2515.0,-930.55,13.3,100.0,0.00,0.00
06/04/2026 16:09,06/04/2026 16:20,XAUUSD,Buy,4504.41000,4508.27000,0.0000,0.0000,386.0,143.45,0.26,00:00:11:14,9.1,1m,2515.0,6.52,386.0,142.82,-2515.0,-930.55,13.3,100.0,0.00,0.00
06/04/2026 16:09,06/04/2026 16:20,XAUUSD,Buy,4504.40000,4508.37000,0.0000,0.0000,397.0,147.53,0.27,00:00:11:14,9.1,1m,2514.0,6.33,397.0,146.89,-2514.0,-930.18,13.6,100.0,0.00,0.00
06/04/2026 16:09,06/04/2026 16:20,XAUUSD,Buy,4504.40000,4508.37000,0.0000,0.0000,397.0,147.53,0.27,00:00:11:14,9.1,1m,2514.0,6.33,397.0,146.89,-2514.0,-930.18,13.6,100.0,0.00,0.00
06/04/2026 16:09,06/04/2026 16:20,XAUUSD,Buy,4504.41000,4508.37000,0.0000,0.0000,396.0,147.16,0.27,00:00:11:15,9.1,1m,2515.0,6.35,396.0,146.52,-2515.0,-930.55,13.6,100.0,0.00,0.00
06/04/2026 16:09,06/04/2026 16:20,XAUUSD,Buy,4504.78000,4508.37000,0.0000,0.0000,359.0,133.41,0.24,00:00:11:37,9.1,1m,2552.0,7.11,359.0,132.83,-2552.0,-944.24,12.3,100.0,0.00,0.00
06/04/2026 16:09,06/04/2026 16:20,XAUUSD,Buy,4504.78000,4508.37000,0.0000,0.0000,359.0,133.41,0.24,00:00:11:37,9.1,1m,2552.0,7.11,359.0,132.83,-2552.0,-944.24,12.3,100.0,0.00,0.00
06/04/2026 16:09,06/04/2026 16:20,XAUUSD,Buy,4504.75000,4508.27000,0.0000,0.0000,352.0,130.81,0.24,00:00:11:37,9.1,1m,2549.0,7.25,352.0,130.24,-2549.0,-943.13,12.1,100.0,0.00,0.00
06/04/2026 16:09,06/04/2026 16:20,XAUUSD,Buy,4504.75000,4508.37000,0.0000,0.0000,362.0,134.53,0.25,00:00:11:37,9.1,1m,2549.0,7.04,362.0,133.94,-2549.0,-943.13,12.4,100.0,0.00,0.00
06/04/2026 16:09,06/04/2026 16:20,XAUUSD,Buy,4504.82000,4508.37000,0.0000,0.0000,355.0,131.93,0.24,00:00:11:37,9.1,1m,2556.0,7.20,355.0,131.35,-2556.0,-945.72,12.2,100.0,0.00,0.00
06/04/2026 16:09,06/04/2026 16:20,XAUUSD,Buy,4504.97000,4508.37000,0.0000,0.0000,340.0,126.35,0.23,00:00:11:38,9.1,1m,2571.0,7.56,340.0,125.8,-2571.0,-951.27,11.7,100.0,0.00,0.00
06/04/2026 16:09,06/04/2026 16:20,XAUUSD,Buy,4505.02000,4508.37000,0.0000,0.0000,335.0,124.49,0.23,00:00:11:38,9.1,1m,2576.0,7.69,335.0,123.95,-2576.0,-953.12,11.5,100.0,0.00,0.00
06/04/2026 16:09,06/04/2026 16:20,XAUUSD,Buy,4505.02000,4508.37000,0.0000,0.0000,335.0,124.49,0.23,00:00:11:38,9.1,1m,2576.0,7.69,335.0,123.95,-2576.0,-953.12,11.5,100.0,0.00,0.00
06/04/2026 15:58,06/04/2026 16:20,XAUUSD,Buy,4503.31000,4508.54000,0.0000,0.0000,523.0,194.36,0.36,00:00:21:55,4.6,1m,2790.0,5.34,523.0,193.51,-2790.0,-1032.3,15.8,100.0,0.00,0.00
06/04/2026 15:58,06/04/2026 16:20,XAUUSD,Buy,4503.31000,4508.54000,0.0000,0.0000,523.0,194.36,0.36,00:00:21:55,4.6,1m,2790.0,5.34,523.0,193.51,-2790.0,-1032.3,15.8,100.0,0.00,0.00
06/04/2026 15:58,06/04/2026 16:20,XAUUSD,Buy,4503.32000,4508.62000,0.0000,0.0000,530.0,196.96,0.37,00:00:21:56,4.6,1m,2791.0,5.27,530.0,196.1,-2791.0,-1032.67,16.0,100.0,0.00,0.00
06/04/2026 15:58,06/04/2026 16:20,XAUUSD,Buy,4503.30000,4508.62000,0.0000,0.0000,532.0,197.70,0.37,00:00:21:56,4.6,1m,2789.0,5.24,532.0,196.84,-2789.0,-1031.93,16.0,100.0,0.00,0.00
06/04/2026 15:58,06/04/2026 16:20,XAUUSD,Buy,4503.31000,4508.62000,0.0000,0.0000,531.0,197.33,0.37,00:00:21:56,4.6,1m,2790.0,5.25,531.0,196.47,-2790.0,-1032.3,16.0,100.0,0.00,0.00
06/04/2026 15:58,06/04/2026 16:20,XAUUSD,Buy,4503.31000,4508.62000,0.0000,0.0000,531.0,197.33,0.37,00:00:21:56,4.6,1m,2790.0,5.25,531.0,196.47,-2790.0,-1032.3,16.0,100.0,0.00,0.00
06/04/2026 15:58,06/04/2026 16:20,XAUUSD,Buy,4503.31000,4508.62000,0.0000,0.0000,531.0,197.33,0.38,00:00:21:56,4.6,1m,2790.0,5.25,531.0,196.47,-2790.0,-1032.3,16.0,100.0,0.00,0.00
06/04/2026 15:58,06/04/2026 16:20,XAUUSD,Buy,4503.44000,4508.62000,0.0000,0.0000,518.0,192.50,0.37,00:00:21:57,4.6,1m,2803.0,5.41,518.0,191.66,-2803.0,-1037.11,15.6,100.0,0.00,0.00
06/04/2026 15:58,06/04/2026 16:20,XAUUSD,Buy,4505.38000,4508.62000,0.0000,0.0000,324.0,120.40,0.23,00:00:22:39,4.6,1m,2997.0,9.25,324.0,119.88,-2997.0,-1108.89,9.8,100.0,0.00,0.00
06/04/2026 15:58,06/04/2026 16:20,XAUUSD,Buy,4505.36000,4508.62000,0.0000,0.0000,326.0,121.15,0.23,00:00:22:39,4.6,1m,2995.0,9.19,326.0,120.62,-2995.0,-1108.15,9.8,100.0,0.00,0.00
06/04/2026 15:58,06/04/2026 16:20,XAUUSD,Buy,4505.35000,4508.62000,0.0000,0.0000,327.0,121.52,0.23,00:00:22:39,4.6,1m,2994.0,9.16,327.0,120.99,-2994.0,-1107.78,9.8,100.0,0.00,0.00
06/04/2026 15:57,06/04/2026 16:20,XAUUSD,Buy,4506.66000,4508.62000,0.0000,0.0000,196.0,72.84,0.14,00:00:23:49,4.4,1m,3125.0,15.95,196.0,72.52,-3125.0,-1156.25,5.9,100.0,0.00,0.00
06/04/2026 15:58,06/04/2026 16:20,XAUUSD,Buy,4503.31000,4508.62000,0.0000,0.0000,531.0,197.33,0.38,00:00:21:55,4.6,1m,2790.0,5.25,531.0,196.47,-2790.0,-1032.3,16.0,100.0,0.00,0.00
06/04/2026 15:58,06/04/2026 16:20,XAUUSD,Buy,4503.45000,4508.62000,0.0000,0.0000,517.0,192.13,0.37,00:00:21:56,4.6,1m,2804.0,5.43,517.0,191.29,-2804.0,-1037.48,15.6,100.0,0.00,0.00
06/04/2026 15:57,06/04/2026 16:20,XAUUSD,Buy,4506.65000,4508.62000,0.0000,0.0000,197.0,73.21,0.14,00:00:23:48,4.4,1m,3124.0,15.87,197.0,72.89,-3124.0,-1155.8799999999999,5.9,100.0,0.00,0.00
06/04/2026 15:57,06/04/2026 16:20,XAUUSD,Buy,4506.68000,4508.64000,0.0000,0.0000,196.0,72.84,0.14,00:00:23:48,4.4,1m,3127.0,15.97,196.0,72.52,-3127.0,-1156.99,5.9,100.0,0.00,0.00
06/04/2026 15:57,06/04/2026 16:20,XAUUSD,Buy,4506.72000,4508.64000,0.0000,0.0000,192.0,71.35,0.14,00:00:23:49,4.4,1m,3131.0,16.31,192.0,71.03999999999999,-3131.0,-1158.47,5.8,100.0,0.00,0.00
06/04/2026 15:57,06/04/2026 16:20,XAUUSD,Buy,4506.66000,4508.64000,0.0000,0.0000,198.0,73.58,0.14,00:00:23:49,4.4,1m,3125.0,15.80,198.0,73.26,-3125.0,-1156.25,6.0,100.0,0.00,0.00
06/04/2026 15:57,06/04/2026 16:20,XAUUSD,Buy,4506.61000,4508.64000,0.0000,0.0000,203.0,75.44,0.15,00:00:23:49,4.4,1m,3120.0,15.38,203.0,75.11,-3120.0,-1154.4,6.1,100.0,0.00,0.00
06/04/2026 15:57,06/04/2026 16:20,XAUUSD,Buy,4506.68000,4508.64000,0.0000,0.0000,196.0,72.84,0.14,00:00:23:49,4.4,1m,3127.0,15.97,196.0,72.52,-3127.0,-1156.99,5.9,100.0,0.00,0.00
06/04/2026 15:57,06/04/2026 16:20,XAUUSD,Buy,4506.72000,4508.70000,0.0000,0.0000,198.0,73.58,0.14,00:00:23:49,4.4,1m,3131.0,15.82,198.0,73.26,-3131.0,-1158.47,5.9,100.0,0.00,0.00
06/04/2026 15:57,06/04/2026 16:20,XAUUSD,Buy,4506.63000,4508.87000,0.0000,0.0000,224.0,83.24,0.16,00:00:23:49,4.4,1m,3122.0,13.95,224.0,82.88,-3122.0,-1155.1399999999999,6.7,100.0,0.00,0.00
06/04/2026 15:57,06/04/2026 16:20,XAUUSD,Buy,4506.54000,4508.87000,0.0000,0.0000,233.0,86.59,0.17,00:00:23:50,4.2,1m,3113.0,13.37,233.0,86.21,-3113.0,-1151.81,7.0,100.0,0.00,0.00
06/04/2026 15:57,06/04/2026 16:20,XAUUSD,Buy,4506.54000,4508.87000,0.0000,0.0000,233.0,86.59,0.17,00:00:23:50,4.2,1m,3113.0,13.37,233.0,86.21,-3113.0,-1151.81,7.0,100.0,0.00,0.00
06/04/2026 15:56,06/04/2026 16:20,XAUUSD,Buy,4507.04000,4508.87000,0.0000,0.0000,183.0,68.01,0.13,00:00:24:34,4.2,1m,3163.0,17.30,183.0,67.71,-3163.0,-1170.31,5.5,100.0,0.00,0.00
06/04/2026 15:56,06/04/2026 16:20,XAUUSD,Buy,4507.04000,4508.87000,0.0000,0.0000,183.0,68.01,0.13,00:00:24:34,4.2,1m,3163.0,17.30,183.0,67.71,-3163.0,-1170.31,5.5,100.0,0.00,0.00
06/04/2026 15:56,06/04/2026 16:20,XAUUSD,Buy,4507.07000,4508.87000,0.0000,0.0000,180.0,66.89,0.13,00:00:24:34,4.2,1m,3166.0,17.61,180.0,66.6,-3166.0,-1171.42,5.4,100.0,0.00,0.00
06/04/2026 15:56,06/04/2026 16:20,XAUUSD,Buy,4507.13000,4508.87000,0.0000,0.0000,174.0,64.66,0.13,00:00:24:35,4.2,1m,3172.0,18.25,174.0,64.38,-3172.0,-1173.6399999999999,5.2,100.0,0.00,0.00
