Open Date,Close Date,Symbol,Action,Units/Lots,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
06/02/2026 06:27,06/02/2026 06:33,GOLDI,Buy,0.010,4505.27000,4506.27000,0.0000,0.0000,100.0,1.00,0.17,"[tp]",00:00:05:15,,,,,,,,,,,,
06/01/2026 07:31,06/01/2026 07:39,GOLDI,Buy,0.010,4519.84000,4521.37000,0.0000,0.0000,153.0,1.53,0.27,"[tp]",00:00:07:25,,,,,,,,,,,,
05/29/2026 07:14,05/29/2026 07:15,GOLDI,Sell,0.010,4511.98000,4510.98000,0.0000,0.0000,100.0,1.00,0.17,"[tp]",00:00:00:52,,,,,,,,,,,,
05/28/2026 06:16,05/28/2026 07:12,GOLDI,Buy,0.010,4374.34000,4375.34000,0.0000,0.0000,100.0,1.00,0.17,"[tp]",00:00:55:15,,,,,,,,,,,,
05/27/2026 06:27,05/27/2026 06:28,GOLDI,Sell,0.010,4501.91000,4500.91000,0.0000,0.0000,100.0,1.00,0.17,"[tp]",00:00:01:23,,,,,,,,,,,,
05/26/2026 05:59,05/26/2026 06:02,GOLDI,Buy,0.010,4541.99000,4542.99000,0.0000,0.0000,100.0,1.00,0.17,"[tp]",00:00:03:05,,,,,,,,,,,,
05/25/2026 10:38,05/25/2026 10:43,GOLDI,Sell,0.010,4555.89000,4554.89000,0.0000,0.0000,100.0,1.00,0.18,"[tp]",00:00:04:51,,,,,,,,,,,,
05/22/2026 08:54,05/22/2026 08:55,GOLDI,Buy,0.010,4525.05000,4526.05000,0.0000,0.0000,100.0,1.00,0.18,"[tp]",00:00:01:00,,,,,,,,,,,,
05/21/2026 07:23,05/21/2026 07:28,GOLDI,Buy,0.010,4525.62000,4527.15000,0.0000,0.0000,153.0,1.53,0.27,"[tp]",00:00:04:42,,,,,,,,,,,,
05/20/2026 06:36,05/20/2026 06:37,GOLDI,Buy,0.010,4461.91000,4463.12000,0.0000,0.0000,121.0,1.21,0.21,"[tp]",00:00:00:53,,,,,,,,,,,,
