Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USC),Min(pips),Min(USC),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USC)
,05/18/2026 04:59,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,19784.00,0,"D-IDQRISGT-USC-1345191751686",0,00:00:00:00,,,,,,,,,,,,
,05/07/2026 02:50,05/07/2026 02:50,XAUUSD,Sell,0.010,0.00000,0.00000,4706.10900,4707.32900,0.0000,0.0000,-122.0,-1.20,0.00,"",0,00:00:00:06,,,,,,,,,,,,
,04/08/2026 02:20,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,29366.00,0,"D-IDQRISGT-USC-1264832729094",0,00:00:00:00,,,,,,,,,,,,
,04/08/2026 02:18,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,5874.00,0,"D-IDQRISGT-USC-1264827518982",0,00:00:00:00,,,,,,,,,,,,
,03/03/2026 00:47,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,35508.00,0,"D-IDQRISGT-USC-1173266849798",0,00:00:00:00,,,,,,,,,,,,
,03/03/2026 00:46,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,5918.00,0,"D-IDQRISGT-USC-1173264121862",0,00:00:00:00,,,,,,,,,,,,
,01/29/2026 15:14,03/02/2026 07:48,XAUUSD,Buy,0.200,0.00000,0.00000,5392.67500,5411.18700,0.0000,0.0000,1851.2,370.20,0.13,"",0,31:16:34:22,0.7,5h 19m,93500.0,19.46,4574.5,914.9000000000001,-88925.5,-17785.100000000002,4.9,97.1,-2723.30,-544.66
,02/02/2026 08:12,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,47563.00,0,"D-IDQRISGT-USC-1095429189638",0,00:00:00:00,,,,,,,,,,,,
,01/28/2026 20:35,01/28/2026 23:22,XAUUSD,Buy,0.200,0.00000,0.00000,5365.85300,5483.42000,0.0000,0.0000,11756.7,2351.30,1.04,"",0,00:02:47:13,100.0,2h 47m,1995.0,0.00,12567.7,2513.5400000000004,0.0,0.0,100.0,93.5,-811.00,-162.20
,01/28/2026 05:49,01/28/2026 23:22,XAUUSD,Buy,0.200,0.00000,0.00000,5265.22500,5483.54200,0.0000,0.0000,21831.7,4366.30,1.98,"",0,00:17:33:52,81.1,14h 14m,6343.0,0.10,22630.5,4526.1,-2309.5,-461.90000000000003,90.7,96.8,-798.80,-159.76
,01/28/2026 05:31,01/28/2026 05:48,XAUUSD,Buy,0.200,0.00000,0.00000,5260.91400,5265.16200,0.0000,0.0000,424.8,84.90,0.04,"",0,00:00:17:32,,,,,,,,,,,,
,01/26/2026 01:34,01/28/2026 05:31,XAUUSD,Buy,0.200,0.00000,0.00000,5083.06300,5261.80300,0.0000,0.0000,17874.0,3574.80,1.64,"",0,02:03:56:25,55.7,1d 4h ,10493.0,0.46,17874.0,3574.8,-8137.3,-1627.46,68.7,100.0,0.00,0.00
,01/28/2026 01:18,01/28/2026 05:31,XAUUSD,Buy,0.200,0.00000,0.00000,5190.04200,5261.80300,0.0000,0.0000,7176.1,1435.30,0.66,"",0,00:04:12:23,98.1,4h 7m,1556.0,0.03,7176.1,1435.2200000000003,-223.2,-44.64,97.0,100.0,0.00,0.00
,01/26/2026 01:34,01/26/2026 01:34,AUDCAD,Buy,0.100,0.00000,0.00000,0.94683,0.94660,0.0000,0.0000,-2.3,-1.68,0.00,"",0,00:00:00:03,,,,,,,,,,,,
,01/22/2026 23:14,01/26/2026 01:33,XAUUSD,Buy,0.200,0.00000,0.00000,4945.91500,5078.22700,0.0000,0.0000,13231.2,2646.20,1.24,"",0,03:02:19:24,89.6,2d 18h ,6151.0,0.30,13767.5,2753.5,-4068.5,-813.7,77.2,97.0,-536.30,-107.26
,01/21/2026 02:09,01/22/2026 20:41,XAUUSD,Buy,0.200,0.00000,0.00000,4830.85300,4920.54500,0.0000,0.0000,8969.2,1793.80,0.85,"",0,01:18:31:18,59.3,1d 1h ,11746.0,0.67,9661.7,1932.3400000000001,-6456.3,-1291.2600000000002,59.9,95.7,-692.50,-138.50
,01/22/2026 00:00,01/22/2026 20:41,XAUUSD,Buy,0.200,0.00000,0.00000,4781.89300,4920.15100,0.0000,0.0000,13825.8,2765.10,1.33,"",0,00:20:40:48,99.6,20h 35m,2308.0,0.04,14557.7,2911.5400000000004,-585.3,-117.06,96.1,95.2,-731.90,-146.38
,01/20/2026 07:55,01/21/2026 00:31,XAUUSD,Buy,0.200,0.00000,0.00000,4716.71300,4779.12600,0.0000,0.0000,6241.3,1248.20,0.60,"",0,00:16:36:09,100.0,16h 36m,2615.0,0.00,6547.7,1309.54,0.0,0.0,100.0,95.3,-306.40,-61.28
,01/18/2026 23:41,01/21/2026 00:31,XAUUSD,Buy,0.200,0.00000,0.00000,4665.29700,4779.12600,0.0000,0.0000,11382.9,2276.60,1.11,"",0,02:00:50:03,86.1,1d 18h ,2615.0,0.08,11689.3,2337.86,-953.7,-190.74,92.5,97.6,-306.40,-61.28
,01/12/2026 14:14,01/18/2026 23:38,XAUUSD,Buy,0.200,0.00000,0.00000,4596.20000,4677.37000,0.0000,0.0000,8117.0,1623.40,0.80,"",0,06:09:24:15,48.6,3d 2h ,7723.0,0.40,8327.0,1665.4,-3326.0,-665.2,71.5,98.2,-210.00,-42.00
,01/12/2026 00:14,01/12/2026 14:14,XAUUSD,Buy,0.100,0.00000,0.00000,4552.87200,4596.19400,0.0000,0.0000,4332.2,433.20,0.21,"",0,00:14:00:06,100.0,14h 0m,3280.0,0.00,6522.8,652.2800000000001,0.0,0.0,100.0,66.4,-2190.60,-219.06
,01/09/2026 15:47,01/12/2026 14:14,XAUUSD,Buy,0.100,0.00000,0.00000,4510.21100,4596.78200,0.0000,0.0000,8657.1,865.70,0.43,"",0,02:22:26:50,22.1,15h 34m,3280.0,0.24,10788.9,1078.89,-2583.1,-258.31,80.7,84.1,-2131.80,-213.18
,01/07/2026 13:05,01/09/2026 15:47,XAUUSD,Buy,0.100,0.00000,0.00000,4445.76700,4511.04600,0.0000,0.0000,6527.9,652.80,0.32,"",0,02:02:41:37,71.3,1d 12h ,5526.0,0.48,6944.3,694.4300000000001,-3344.7,-334.47,67.5,96.0,-416.40,-41.64
,01/06/2026 21:54,01/09/2026 15:47,XAUUSD,Buy,0.100,0.00000,0.00000,4495.18100,4511.04600,0.0000,0.0000,1586.5,158.70,0.08,"",0,02:17:52:54,2.7,1h 46m,8746.0,4.14,2002.9,200.29000000000002,-8286.1,-828.6100000000001,19.5,96.0,-416.40,-41.64
,01/09/2026 03:01,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,5937.00,0,"D-IDQRISGT-USC-102242606695",0,00:00:00:00,,,,,,,,,,,,
,01/07/2026 23:45,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,6065.00,0,"D-IDQRISGT-USC-101919853773",0,00:00:00:00,,,,,,,,,,,,
,01/06/2026 02:03,01/06/2026 21:54,XAUUSD,Buy,0.050,0.00000,0.00000,4452.85800,4495.00300,0.0000,0.0000,4214.5,210.70,0.11,"",0,00:19:50:49,91.6,18h 10m,2617.0,0.17,4435.2,221.76,-759.8,-37.99,85.4,95.8,-220.70,-11.03
,12/30/2025 02:44,01/06/2026 21:54,XAUUSD,Buy,0.100,0.00000,0.00000,4355.12100,4495.00300,0.0000,0.0000,13988.2,1398.80,0.74,"",0,07:19:09:52,41.3,3d 5h ,11557.0,0.49,14114.9,1411.49,-6962.1,-696.21,67.0,99.4,-126.70,-12.67
,12/29/2025 12:49,01/06/2026 21:54,XAUUSD,Buy,0.200,0.00000,0.00000,4461.74500,4495.00300,0.0000,0.0000,3325.8,665.20,0.36,"",0,08:09:04:28,7.6,15h 16m,17624.5,5.11,3452.5,690.5,-17624.5,-3524.9,16.4,99.4,-126.70,-25.34
,12/28/2025 23:19,01/06/2026 21:54,XAUUSD,Buy,0.200,0.00000,0.00000,4537.26200,4495.00300,0.0000,0.0000,-4225.9,-845.10,-0.45,"",0,08:22:34:57,0.0,0s,25176.2,0.00,0.0,0.0,-25176.2,-5035.240000000001,0.0,83.2,-4225.90,-845.18
,12/26/2025 16:52,01/06/2026 21:54,XAUUSD,Buy,0.100,0.00000,0.00000,4534.46800,4495.00300,0.0000,0.0000,-3946.5,-394.70,-0.21,"",0,11:05:02:18,0.1,16m,25080.0,136.99,183.2,18.32,-24896.8,-2489.6800000000003,0.7,83.5,-4129.70,-412.97
,12/26/2025 16:07,01/06/2026 21:54,XAUUSD,Buy,0.100,0.00000,0.00000,4549.54900,4495.00300,0.0000,0.0000,-5454.6,-545.50,-0.29,"",0,11:05:46:33,0.0,0s,26404.9,0.00,0.0,0.0,-26404.9,-2640.4900000000002,0.0,79.3,-5454.60,-545.46
,01/06/2026 02:01,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,11927.00,0,"D-IDQRISGT-USC-101329592320",0,00:00:00:00,,,,,,,,,,,,
,12/30/2025 02:43,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,30342.00,0,"D-IDQRISGT-USC-997882621958",0,00:00:00:00,,,,,,,,,,,,
,12/24/2025 01:53,12/26/2025 15:56,XAUUSD,Buy,0.400,0.00000,4547.21900,4522.18800,4547.21900,0.0000,0.0000,2503.1,1001.30,0.69,"[tp 4547.21900]",0,02:14:02:38,3.4,2h 6m,6991.8,2.79,2503.1,1001.24,-6991.8,-2796.7200000000003,26.4,100.0,0.00,0.00
,12/24/2025 08:52,12/24/2025 10:31,XAUUSD,Buy,0.100,0.00000,0.00000,4486.09600,4491.16600,0.0000,0.0000,507.0,50.70,0.03,"",0,00:01:38:51,82.9,1h 21m,927.0,0.31,1334.4,133.44000000000003,-417.6,-41.760000000000005,76.2,52.8,-827.40,-82.74
,12/23/2025 01:10,12/24/2025 01:53,XAUUSD,Buy,0.400,0.00000,0.00000,4484.13300,4522.21800,0.0000,0.0000,3808.5,1523.40,1.06,"",0,01:00:43:23,,,,,,,,,,,,
,12/22/2025 23:21,12/23/2025 01:10,XAUUSD,Buy,0.400,0.00000,0.00000,4457.53600,4483.12600,0.0000,0.0000,2559.0,1023.60,0.72,"",0,00:01:49:01,,,,,,,,,,,,
,12/22/2025 14:24,12/22/2025 23:20,XAUUSD,Buy,0.400,0.00000,0.00000,4428.91400,4457.19300,0.0000,0.0000,2827.9,1131.10,0.80,"",0,00:08:56:11,,,,,,,,,,,,
,12/22/2025 05:34,12/22/2025 14:24,XAUUSD,Buy,0.400,0.00000,0.00000,4406.61100,4428.88900,0.0000,0.0000,2227.8,891.20,0.63,"",0,00:08:49:44,,,,,,,,,,,,
,12/22/2025 02:02,12/22/2025 05:32,XAUUSD,Buy,0.400,0.00000,4408.72000,4383.22800,4408.72000,0.0000,0.0000,2549.2,1019.70,0.73,"[tp 4408.72000]",0,00:03:30:07,,,,,,,,,,,,
,12/22/2025 01:17,12/22/2025 02:02,XAUUSD,Buy,0.400,0.00000,0.00000,4364.27500,4383.08700,0.0000,0.0000,1881.2,752.50,0.54,"",0,00:00:44:52,,,,,,,,,,,,
,12/18/2025 23:59,12/19/2025 20:19,XAUUSD,Buy,0.300,4341.57900,0.00000,4334.94400,4341.57900,0.0000,0.0000,663.5,199.10,0.14,"[sl 4341.57900]",0,00:20:19:53,,,,,,,,,,,,
,12/19/2025 12:11,12/19/2025 18:33,XAUUSD,Buy,0.100,0.00000,0.00000,4322.56100,4351.24100,0.0000,0.0000,2868.0,286.80,0.21,"",0,00:06:22:18,,,,,,,,,,,,
,12/19/2025 11:28,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,23846.00,0,"D-IDQRISGT-USC-975177322502",0,00:00:00:00,,,,,,,,,,,,
,12/19/2025 11:26,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,5962.00,0,"D-IDQRISGT-USC-975173599238",0,00:00:00:00,,,,,,,,,,,,
,12/12/2025 15:54,12/18/2025 23:10,XAUUSD,Buy,0.010,0.00000,0.00000,4302.86900,4335.72600,0.0000,0.0000,3285.7,32.80,0.03,"",0,06:07:16:37,,,,,,,,,,,,
,12/12/2025 12:35,12/18/2025 16:13,XAUUSD,Buy,0.300,0.00000,4363.70900,4329.71300,4363.70900,0.0000,0.0000,3399.6,1019.90,0.95,"[tp 4363.70900]",0,06:03:37:44,,,,,,,,,,,,
